No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
64,京都,the trimming 京都本店,トリミング,https://trimming.animal-kyoto.jp/,,要検証,要検証,京都市/動物病院併設
65,兵庫,ドギーパレス 神戸ポートタワー店,サロン/ホテル,https://www.doggy111.com/,,要検証,要検証,神戸市/芦屋
66,兵庫,神戸ペットホテル フェリーチェ,ホテル,https://kobe.felice-pet.jp/index2.html,,要検証,要検証,神戸市
67,兵庫,dog salon Pele,トリミング/ホテル,https://www.dogsalon-pele.com/,,要検証,要検証,神戸市
68,兵庫,Amity,トリミング/ホテル,http://www.amity-dog.com/,,要検証,要検証,神戸市
69,兵庫,Dog Salon Lien(リアン),サロン,https://dog-salon-lien.com/,,要検証,要検証,神戸市西区
70,兵庫,pet salon MINT,トリミング/ホテル,https://petsalon-mint.com/,,要検証,要検証,神戸市垂水区
71,岡山,ペットサロン フェリーチェ,トリミング/ホテル,https://felice-pet.jp/,,要検証,要検証,岡山市/年中無休
72,岡山,カレン(kallen)ペットサロン,トリミング/ホテル/用品,https://kallen-petsalon.jp/,,要検証,要検証,岡山
73,岡山,トリミングサロンSAKURA,トリミング/ホテル,http://trimingsalon-sakura.com/,,要検証,要検証,岡山
74,広島,サロン ド トキコ,トリミング/ホテル,https://tokiko.info/,,要検証,要検証,広島市/広島駅近く
75,広島,ドッグサロン風～FUU～,トリミング/ホテル/フード,https://dogsalon-fuu.style/,,要検証,要検証,広島/無添加フード販売
76,広島,m Pet Hotel,ホテル/トリミング,https://m-pet-hotel.com/,,要検証,要検証,広島市中区
77,広島,ペットハウスマリー,ショップ/サロン/ホテル,https://pethouse-mary.com/,,要検証,要検証,広島県
78,広島,Trimming&Hotel DADA,トリミング/ホテル,https://www.dada-pet.com/,,要検証,要検証,広島市/舟入・三篠
79,福岡,Dog Salon GRACE,ホテル/トリミング/フード,https://dogsalongrace.jp/,092-672-7011,要検証,要検証,福岡市東区千早
80,福岡,ペットサロン natural,トリミング/ホテル/用品,https://www.natural2014.com/,,要検証,要検証,福岡市東区/博多区/粕屋郡
81,福岡,さくらの木,サロン/ホテル/用品,https://dog.sakuranoki.biz/,,要検証,要検証,福岡市東区名島
82,福岡,ビースパ住吉店,ホテル/トリミング,https://b-spa.co.jp/sumiyoshi/,,要検証,要検証,福岡市博多区
83,福岡,Shampowan(シャポワン),トリミング,https://shampowan.com/,,要検証,要検証,福岡
84,福岡,jolipote,トリミング/ホテル/フード,https://jolipote.com/,,要検証,要検証,福岡市早良区/城南区/西区
85,福岡,Ozf Mawata,サロン/ホテル,https://www.ozf-mawata.com/,,要検証,要検証,福岡市
86,福岡,pistachio(ピスタチオ),トリミング/ホテル,https://dog-pistachio.com/,092-555-4677,要検証,要検証,福岡市南区
87,熊本,ペットサロン コラット,サロン/ホテル,https://petsaloncorat.com/,,要検証,要検証,熊本市東区
88,熊本,ペットサロンタビー,トリミング/ホテル,https://www.petsalon-tabby.com/,,要検証,要検証,熊本市東区
89,鹿児島,カレン動物病院,ホテル/トリミング,https://kalen.pet/hotel,,要検証,要検証,鹿児島市
90,沖縄,Total pet salon Chouchou,トリミング/ホテル,https://www.chouchou-tvc.jp/,,要検証,要検証,沖縄市与儀
91,沖縄,サロンドオハナ,ホテル/トリミング,https://salonde-ohana.com/,,要検証,要検証,沖縄市
92,沖縄,トリミングサロン Olu Pono,トリミング/ホテル,https://churatown.com/detail/177/index.html,,要検証,要検証,那覇市/古島駅周辺
