No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
16,福島,Dog salon NICO,小型中型犬専門トリミング,https://nico-dog.jp/,,要検証,要検証,郡山市富田東6-43
17,福島,グルーミングサロンYUMI,犬専門トリミング,https://www.yumir4300.com/,,要検証,要検証,郡山市開成6丁目151
18,福島,おうちDOGサロン リン,トリミング/ペットホテル/ドッグパーク,https://ouchidogsalon-rin.com/,,要検証,要検証,郡山市大槻町字針生西7-6
19,福島,Pomme d'Adam(ポムダダン),トリミング/ドッグフォトスタジオ,https://pomme-d-adam.com/,,要検証,要検証,福島市陣場町6-14
20,福島,ティンカーベル.JP,トリミング/ペットホテル/老犬ホーム,https://www.t-bell.jp/,,要検証,要検証,会津若松市行仁町7-22
21,東京,Dog Place Oasis,トリミングサロン,https://dogplace-oasis.jp/,,要検証,要検証,立川市(西立川駅徒歩2分)
22,東京,トリミングサロン 犬喜庵(けんきあん),トリミングサロン(移動・出張型),https://kenkian.com/,,要検証,要検証,立川市柏町4-44-28
23,神奈川,トリミングサロン ドッグチョイス,トリミングサロン,https://dog-choice.com/,,要検証,要検証,茅ヶ崎市中島1206
24,千葉,SNOOP,ペットサロン(トリミング・ホテル),https://petsalon-snoop.com/,,要検証,要検証,船橋市習志野台1-11-4
25,千葉,犬の美容室 COWAN,トリミングサロン,https://www.cowan.jp/,,要検証,要検証,松戸市大金平5-392-2
26,埼玉,ラブドッグス(Love Dogs),トリミングサロン,https://lovedogs.co.jp/,,要検証,要検証,さいたま市大宮区土手町3-101
27,埼玉,ドッグサロン ふわふわ,ドッグサロン(トリミング・ホテル),https://www.dogfuwafuwa.com/,,要検証,要検証,狭山市柏原827-1
28,埼玉,ペットサロンハニー 川越本店,トリミングサロン,https://petsalon-honey.com/kawagoe/,,要検証,要検証,川越市的場1-26-5
29,埼玉,ZUTTO DOG(ズットドッグ),犬の幼稚園/ホテル/トリミング,https://zuttodog.jp/,,要検証,要検証,桶川・上尾・北本・伊奈町
30,埼玉,深谷ドッグスクール育わん幼稚園,ドッグスクール/犬の幼稚園,https://www.fukaya-dogschool.com/,,要検証,要検証,深谷市武蔵野2283-3
31,茨城,dog care salon CALME,トリミングサロン,https://calme-dog.com/,,要検証,要検証,つくば市島名891-1
32,茨城,Dog Salon ONE-U,トリミングサロン,https://one-u.dog/,,要検証,要検証,つくば市みどりの2-17-4
33,茨城,トリミングサロン カリフォルニアドッグ,トリミングサロン,https://www.caldog.co.jp/,,要検証,要検証,つくば市学園の森3-29-6
34,茨城,ファミリードッグ,トリミングサロン(ホテル併設),https://family-dog-mitosi.com/,,要検証,要検証,水戸市石川1-3797-4
35,茨城,DogSalon FLOCHE,トリミングサロン,https://dog-floche.com/,,要検証,要検証,水戸市平須町2053-5
36,栃木,Dog One(ドッグワン),トリミングサロン,https://dog-one.jp/,,要検証,要検証,宇都宮市鶴田町2185-18
37,栃木,ドッグサロン fugafuga,トリミングサロン,https://fuga-fuga.com/,,要検証,要検証,宇都宮市
38,栃木,DogSalon AZAZ,ドッグサロン,https://dogsalon-azaz.com/,,要検証,要検証,宇都宮市下田原町
39,栃木,Dog Style Growth,トリミングサロン,https://www.dog-style-growth.com/,,要検証,要検証,宇都宮市御幸ケ原町143-17
40,群馬,トリミングサロンPuPuLa,トリミングサロン/ペットホテル,https://pupula.pink/,,要検証,要検証,前橋市下佐鳥町
41,群馬,トリミングサロンHappiness,トリミングサロン,https://tsaron-happiness.com/,,要検証,要検証,前橋市上大屋町327-33
42,愛知,N.more(エヌ・モア),ドッグサロン・トリミング,https://n-more-dogsalon.com/,,要検証,要検証,豊田市小川町1丁目3-3
43,愛知,dog salon tsumugi(ツムギ),ドッグサロン・トリミング/ペットホテル,https://tsumugi-dogsalon.com/,,要検証,要検証,岡崎市竜泉寺町東柄栗19
44,愛知,ドッグ&キャット アディー・,トリミングサロン/ペットホテル,https://addypet.com/,,要検証,要検証,一宮市奥町神田11-3
45,愛知,ドッグサロン・ベルーガ,ドッグサロン(トリミング&犬の整体),https://dog-beluga.com/,,要検証,要検証,豊橋市南大清水町富士見366-3
46,愛知,トリミングサロンglaffy(ぐらっふぃ),トリミングサロン,https://glaffy.com/,,要検証,要検証,豊川市蔵子5丁目13-50
47,愛知,Paw Dog(パウドッグ),犬の幼稚園,https://www.pawdog-k.com/,,要検証,要検証,刈谷市銀座4丁目78-2
48,静岡,わんわん美容室,トリミングサロン/ペットホテル,https://www.wanwan-pet.jp/,,要検証,要検証,浜松市中央区舘山寺町2047-5
49,静岡,トリミングサロン DISA,トリミングサロン/ペットホテル,https://www.trimmingdisa.com/,,要検証,要検証,静岡市葵区唐瀬(完全予約制)
50,静岡,Salon Wan(サロンワン),トリミングサロン/ペットホテル,https://salon-wan.com/,,要検証,要検証,静岡市駿河区栗原8-11
51,静岡,ドッグサロンIvy(アイビー),ドッグサロン(トリミング専門),https://dogsalon-ivy.com/,,要検証,要検証,富士市錦町1丁目14-27(予約制)
52,山梨,ペットサロン テディーハウス,ペットサロン(トリミング/ホテル/ドッグラン),https://teddyhouse.jp/,,要検証,要検証,甲斐市西八幡672
53,山梨,イシハラドッグサロン甲府本店,トリミングサロン/ペットホテル,https://ishiharadogsalon.com/,,要検証,要検証,甲府市平和通り
54,長野,Dogsalon mania(ドッグサロン マニア),トリミングサロン,https://dogsalon-mania.com/,,要検証,要検証,松本市梓川倭3207-3
55,長野,ドッグサロン ONE SmiLE,トリミングサロン(ドッグホテル併設),https://www.one-smile.biz/,,要検証,要検証,長野市三輪8-32-20
56,新潟,Dogsalon KUU,トリミングサロン(小型犬専用),https://kuukuu.biz/,,要検証,要検証,上越市(完全予約制)
57,新潟,Dog Salon Le'a(レア),トリミングサロン(小型〜中型犬),https://dogsalon-lea-nagaoka.com/,,要検証,要検証,長岡市泉1-6-23
58,富山,犬の美容室 チェリッシュ(CHERISH),トリミング/ドッグサロン(ホテル併設),https://www.cherish-dog.com/,,要検証,要検証,富山市堀川本郷15-157
59,富山,Doggy Paradise(ドギーパラダイス),トリミング/ペットホテル/ドッグカフェ,https://www.doggyparadise2020.com/,,要検証,要検証,富山市布瀬町南2-10-8
60,石川,dogsalon Colche(コルチェ),トリミングサロン(小型犬専門),https://www.colchedog.com/,,要検証,要検証,金沢市南新保町ハ36-3
61,石川,ペッテルかなざわ(PETTEL KANAZAWA),トリミングサロン/ペットホテル(犬猫専門),https://pettel-k.com/,,要検証,要検証,金沢市西念3丁目14番3号
62,福井,トリミングサロン bubble,トリミングサロン(犬専門・ミニドッグラン併設),https://trimmingsalon-bubble.com/,,要検証,要検証,福井市中野1丁目1410
63,岐阜,Fuwalier(フワリエ),トリミング・ドッグサロン,https://fuwalier-dog.com/,,要検証,要検証,岐阜市柳津町北塚2丁目117
64,岐阜,DOG.OASIS.コロン,トリミングサロン/ペットホテル(ドッグラン併設),https://dogsalon-koron.com/,,要検証,要検証,岐阜市本郷町
65,三重,mof.dog design(モフドッグ デザイン),ドッグサロン(トリミング),https://www.mof-dogdesign.jp/,,要検証,要検証,四日市市東新町13-2-2
66,三重,Dog salon WAAN(ドッグサロンワーン),トリミングサロン,https://www.dogsalon-waan.com/,,要検証,要検証,四日市市浜田町9-10
67,大阪,pet salon TRUST,トリミング/ペットホテル,https://www.petsalon-trust.com/,,要検証,要検証,大阪市西区北堀江
68,大阪,Dog salon Calla lily(カラー),トリミング,https://www.dogsalon-calla.com/,,要検証,要検証,大阪市住之江区中加賀屋
69,大阪,pet salon Dearest,トリミング/ペットショップ,https://www.petsalondearest.com/,,要検証,要検証,大阪市西区北堀江
70,大阪,DOG SALON Muu,トリミング,https://www.dogsalon-muu.jp/,,要検証,要検証,堺市堺区二条通
71,大阪,トリミングハウス OHANA,ドッグサロン/トリミング,https://ohana-dog.com/,,要検証,要検証,堺市北区新金岡
72,大阪,ドッグサロンひだまり,トリミング/一時預かり,https://www.dogsalon-hidamari.com/,,要検証,要検証,豊中市長興寺北
73,大阪,わん子ん家 天王寺てんしば店,犬の幼稚園/しつけ/ペットホテル,https://wankonchi.jp/school/school-info/tenshiba/,,要検証,要検証,大阪市天王寺区
74,大阪,犬のほいくえん Pee-Ka-Boo,ドッグ保育園/預かり,https://www.pee-ka-boo.net/,,要検証,要検証,大阪市(九条店/玉造店)
75,大阪,smart-dog,ドッグ幼稚園/しつけ,https://smart-dog.net/,,要検証,要検証,大阪市平野区平野北
76,京都,shuclia(シュークリア),トリミング/ペットケア,https://shuclia.com/,,要検証,要検証,亀岡市追分町
77,京都,ドッグサロンなごみ,トリミング/ペットホテル,https://www.dog-salon-nagomi.com/,,要検証,要検証,京都市伏見区(向日・長岡京送迎)
78,京都,DOG SALON 京都ドッグス,トリミング,https://kyoto-dogs.com/,,要検証,要検証,京都市左京区
79,兵庫,Dog Salon ICHI,トリミング/ペットホテル,https://dogsalon-ichi.jp/,,要検証,要検証,姫路市広畑区
80,兵庫,ドッグサロンViVi,トリミング/ペットホテル,https://dogsalon-vivi.com/,,要検証,要検証,姫路市勝原区
81,兵庫,NINE BASE(ナインベース),トリミング/エステ/ペットホテル,https://www.dogdesign-ninebase.com/,,要検証,要検証,姫路市飾磨区
82,兵庫,ドッグサロンmana*,トリミング/ペットホテル,https://dogsalon-mana.com/,,要検証,要検証,明石市(神戸市含む)
83,兵庫,ドッグサロン ワンズライフ,トリミング,https://wans-life.com/,,要検証,要検証,明石市小久保
84,兵庫,いぬまるドッグサロン,ドッグサロン/トリミング,https://inumaru-dog-salon.com/,,要検証,要検証,明石市大久保町
85,兵庫,Dog salon cocode,トリミング,https://dog-cocode.com/,,要検証,要検証,明石市野々上(西明石)
86,滋賀,DOG SALON REVE(レーヴ),トリミング/ペットサロン,https://dog-reve.jp/,,要検証,要検証,草津市下笠町(栗東対応)
87,滋賀,Dog Salon Lavandula,トリミング,https://www.dogsalonlavandula.com/,,要検証,要検証,大津市石山寺
88,奈良,Dog Salon ONE WAN,トリミング,https://www.dogsalon-onewan.com/,,要検証,要検証,生駒郡(法隆寺駅近く)
89,奈良,わんだふる,トリミング,https://www.trimmingsalon-wonderful.com/,,要検証,要検証,香芝市良福寺
90,和歌山,DOG SALON POCHI,トリミング/預かり,https://pochiwakayama.jimdofree.com/,,要検証,要検証,和歌山市西庄
91,岡山,pet salon MOJOKA,トリミングサロン(犬猫),https://www.petsalon-mojoka.com/,,要検証,要検証,岡山市中区浜2-9-18
92,岡山,BEAU MONDE(ボーモンド),ドッグサロン/トリミング/ホテル,https://www.beaumonde.co.jp/,,要検証,要検証,倉敷市笹沖362-53
93,岡山,Dogsalon&Cafe PawPads,トリミングサロン/カフェ,https://dog-salon-pawpads.com/,,要検証,要検証,岡山市北区西長瀬1210-1
94,広島,ドッグサロン Petit,トリミングサロン,https://www.dogsalon-petit.com/,,要検証,要検証,福山市沼隈町草深2013-2
95,広島,Dog Salon TRIANGLE,トリミングサロン,https://dogsalon-triangle.com/,,要検証,要検証,福山市明神町1-8-26
96,広島,ペットの美容室 BiBi,ドッグサロン/トリミング,https://pet-bibi.com/,,要検証,要検証,広島市南区上東雲町9-25
97,広島,ペット美容室 SARY,ペット美容室/トリミング,https://pet-sary.com/,,要検証,要検証,広島市西区庚午南
98,広島,Dog salon Lien(リアン),トリミングサロン,https://lien-kure.com/,,要検証,要検証,呉市焼山中央1-5-2
99,広島,出張トリミングカー ドッグサロンあかり,出張トリミング,https://dogsalon-akari.com/,,要検証,要検証,呉市・東広島市・熊野町ほか
100,鳥取,dog&cat MONTA(モンタ),ペットサロン/トリミング,http://dc-monta.com/,,要検証,要検証,鳥取市興南町
101,鳥取,ドッグサロンポワ,ドッグサロン/トリミング,http://dogsalonpoir.jp/,,要検証,要検証,鳥取市立川町5-51-16
102,島根,ペットサロン リボン,ペットサロン/トリミング/ホテル,https://www.petsalon-ribbon.jp/,,要検証,要検証,松江市西津田3-13-22
103,山口,ドッグサロンバウ,トリミングサロン,https://dogsalonbow.com/,,要検証,要検証,山口市朝田352-13
104,徳島,Pet House わん's,ペットホテル&トリミングサロン,https://www.pethouse-wans.com/,,要検証,要検証,徳島市城東町2-2-3
105,徳島,愛犬サロン&愛犬ホテル ラブペティ,ドッグサロン&ペットホテル,https://www.love-pety.com/,,要検証,要検証,徳島市応神町吉成字前須20-5
106,香川,dog salon CLANTE,トリミングサロン,https://www.clantedogsalon2020.com/,,要検証,要検証,高松市今里町393-2
107,香川,ペットサロン&ミニドッグランWOM 高松檀紙店,ドッグサロン/ドッグラン,https://www.wom-dogsalon.com/,,要検証,要検証,高松市檀紙町765-1
108,高知,AMERICAN DOG(アメリカンドッグ),トリミング/グルーミング/ペットホテル,https://americandog.jp/,,要検証,要検証,高知市本町3-2-48
109,高知,ドッグアンドシー,ドッグラン&トリミングサロン/ホテル,https://dog-and-sea.com/,,要検証,要検証,高知市春野町弘岡下2655-7
110,福岡,ピコワンワンショップ,トリミング/ペットホテル,https://www.picowanwan.co.jp/,,要検証,要検証,北九州市小倉南区守恒本町
111,福岡,ペットサロン Dspace,トリミング/ペットホテル/デイケア,https://www.dspace-kokura.com/,,要検証,要検証,北九州市小倉南区
112,福岡,グルーミングサロン オラージュ,ペット美容室/ペットホテル,https://orage8.xyz/,,要検証,要検証,北九州市小倉北区赤坂本町2-7-9
113,福岡,Pet salon Ammy(アミイ),トリミングサロン,https://www.petsalon-ammy.com/,,要検証,要検証,北九州市八幡西区陣原5-2-8
114,福岡,ドッグアカデミーPePeDOG,犬の保育園/しつけ/グルーミング,https://pepedog.net/,,要検証,要検証,北九州市若松区塩屋2-1-11
115,福岡,BULL STAR,トリミングサロン/ホテル,https://bullstar.jp/,,要検証,要検証,久留米市荒木町
116,福岡,どっぐぱーる,トリミングサロン,https://www.dog-pearl.com/,,要検証,要検証,久留米市津福本町
117,熊本,ペットラウンジ le chien(ルシアン),トリミング/ペットホテル/老犬ホーム,https://www.petlounge-lechien.com/,,要検証,要検証,熊本市西区松尾2-3-15
118,大分,トリミングサロン Licotta,トリミングサロン,https://www.trimming-licotta.com/,,要検証,要検証,大分市岩田町2-20-16
119,大分,FLUFFY+(フラッフィープラス),ドッグサロン/プレイルーム/ホテル,https://www.fluffy-plus.com/,,要検証,要検証,大分市上宗方
120,大分,ドッグサロン ミュウ,トリミングサロン/ペットホテル,https://www.dogsalonmiu.com/,,要検証,要検証,大分市王子南町1-31
121,宮崎,ドッグサロン Wanna Relax(ワンリラ),トリミングサロン,https://www.wannarelax.jp/,,要検証,要検証,宮崎市吉村町
122,宮崎,ドッグサロンLibra,犬の美容室,https://dogsalon-libra.com/,,要検証,要検証,宮崎市
123,鹿児島,ドッグサロン エマ,トリミング/ホテル/室内ドッグラン,https://www.dogsalon-emma.jp/,,要検証,要検証,鹿児島市池之上町1-1
124,佐賀,ドッグサロン いぬばか,トリミングサロン/ペットホテル,https://inu-baka.com/,,要検証,要検証,佐賀市
125,佐賀,犬の美容室 クララ,トリミングサロン/ペットホテル,http://www.petsalon-clara.com/,,要検証,要検証,佐賀市川副町犬井道1190-2
126,佐賀,Dog Lovers,トリミングサロン,https://saga-doglovers.com/,,要検証,要検証,小城市三日月町長神田787-4
127,長崎,dog salon ナナイロ,トリミングサロン,https://dog-nanairo.com/,,要検証,要検証,長崎市西海町1779-29
128,長崎,DOGBOX(ハウステンボス店),トリミング/ペットホテル/ドッグラン,https://www.dogbox.me/,,要検証,要検証,佐世保市ハウステンボス
129,沖縄,ドッグサロン carone(カロネ),トリミングサロン/ペットホテル,https://www.dogsalon-carone.com/,,要検証,要検証,那覇市三原3-18-23
