No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
67,島根,ドッグスクール縁,ドッグ幼稚園/ドッグスクール/ホテル,https://dog-school-enn.com/,,要検証,要検証,松江市宍道町佐々布
68,香川,i-DOG アイドッグ ラティ高松店,ペットホテル/トリミング/ドッグラン,https://i-dog.jp/hotelandtrimming/,,要検証,要検証,高松市多肥上町
69,広島,ドッグスクール FLAP,ドッグ幼稚園/しつけ教室/ペットホテル,https://dog-sc-flap.lolipop.jp/,,要検証,要検証,広島市
70,広島,ペットホテルBRUNO,ペットホテル(ケージフリー),https://aubergecaninebruno.com/,,要検証,要検証,広島市東区
71,広島,ドッグサポート,犬の保育園/トレーニング/ホテル/トリミング,http://www.megaegg.ne.jp/~dog-support/,,要検証,要検証,広島市西区
72,山口,ハッピーランドハレルヤ,犬の保育園/しつけ教室/ペットホテル,https://happyland-hareruya.com/,,要検証,要検証,山口市朝倉町
73,山口,Pet hotel Laster hill,ペットホテル,https://laster-hill.com/,,要検証,要検証,山口市小郡光が丘
74,徳島,ペットステーション ジュエル,犬の保育園/ペットホテル/介護,https://petcare-jewel.com/,,要検証,要検証,徳島市八万町
75,香川,犬・幼稚園 Smart One,ドッグ幼稚園/ペットホテル,https://codogschool-pupguide.com/hotel/,,要検証,要検証,高松市木太町
76,香川,MIKKAドッグライフ,ペットホテル(1日1組),https://mikka-dog.com/dog-hotel/,,要検証,要検証,高松市十川西町
77,愛媛,ペット保育園ポム,ペット保育園/ペットホテル/トリミング,https://pet-pom.jimdofree.com/,,要検証,要検証,松山市勝山町
78,愛媛,ZOOの森,ペットホテル/トリミング/ドッグエステ,https://petzoo.jp/,,要検証,要検証,松山市
79,愛媛,ペットサロン Off Time,トリミング/ペットホテル/一時預かり,https://petsalon-offtime.com/,,要検証,要検証,松山市来住町
80,高知,SEIWASOHドッグスクール,ドッグスクール/犬の保育園/ペットホテル,https://www.seiwasoh.com/,,要検証,要検証,高知市仁井田
81,福岡,犬の保育園 Hana,ドッグ幼稚園/ホテル/トリミング,https://inunohoikuen-hana.com/,,要検証,要検証,福岡市東区筥松(JR箱崎駅徒歩2分)
82,福岡,ドッグライフプランナーズ福岡校,ドッグ幼稚園/ホテル/しつけ,https://dlp-fuk.com/,,要検証,要検証,福岡市南区玉川町
83,福岡,ドッグサロン SaPone(サポネ),ドッグ幼稚園/ホテル/トリミング,https://dog-sapone.com/,,要検証,要検証,那珂川市今光(博多南駅近く)
84,福岡,TKS-Dog Sports Club,ドッグ幼稚園/ホテル/しつけ,https://www.tks-dogsportsclub.com/,,要検証,要検証,那珂川市南畑
85,佐賀,SAGAドッグスクール,しつけ/ペットホテル,https://sagadogschool.com/,,要検証,要検証,佐賀市富士町
86,長崎,長崎企画(犬訓練所),しつけ/ペットホテル/トリミング,https://www.nagasaki-dogkunren.com/,,要検証,要検証,長崎市
87,熊本,ドッグサロンミラ,トリミング/ペットホテル,https://dogsalon-mira.com/,,要検証,要検証,熊本市(新屋敷本店・光の森店)
88,大分,ONE'S COOL(わんずくーる),ドッグ保育園/デイケア/ホテル,https://www.onescool.com/,,要検証,要検証,別府市石垣西
89,宮崎,Dogsalon&Hotel とろろ,トリミング/ペットホテル/室内ドッグラン,https://petsalontororo.com/,,要検証,要検証,宮崎市広島
90,宮崎,にゃんこの手,ペットホテル(ケージレス),https://nyankonote.com/,,要検証,要検証,宮崎市(宮崎空港近く)
91,鹿児島,DOG REST,託児/デイケア/ペットホテル/トリミング,https://dogrest-kagoshima.com/,,要検証,要検証,鹿児島市下荒田
92,沖縄,Pet Watch ペットウォッチ沖縄,保育園/デイケア/ホテル/トリミング(ケージレス),https://pet-watch.org/,,要検証,要検証,沖縄市
93,沖縄,Happy dog(ハッピードッグ),保育園/デイケア/ホテル/トリミング/しつけ,https://www.okinawa-happy-dog.com/,,要検証,要検証,うるま市
94,沖縄,ワンニャンじゃんぐる,トリミング/ペットホテル,https://www.12jungle.co.jp/,,要検証,要検証,那覇市具志
