通し番号,元リスト,エリア,店舗名,業種,公式サイトURL,電話,メール公開,メールアドレス,問い合わせフォーム,備考
60,初回,大阪,PETSALON&HOTEL chere(シェール),サロン/ホテル,https://www.petsalon-chere.com/,,×,,○,大阪市｜検証: /contactに入力フォーム有(氏名/電話/メール/内容)、予約は電話推奨
61,初回,京都,ペットトリミングサロンTOY,トリミング/ホテル,https://www.trimmingsalon-toy.com/,,×,,○,京都市伏見区｜検証: /contactにフォーム有(氏名/メール/電話/内容)、オンライン予約・電話・LINEも
62,初回,京都,COCO(ココ),サロン/ホテル,https://coco-dog.com/,,×,,×,京都市西京区｜検証: 完全予約制、電話とLINEのみ、フォーム無し
63,初回,京都,ペットサロンくんくん,サロン/ホテル,https://pet-hoteltoinkyoto.com/pet-salon,,○,kunkun@pet-hoteltoinkyoto.com,○,京都市/京都駅近く｜検証: トップに入力フォーム有(氏名/メール/予約・問合せ内容)、外部予約システムも
64,初回,京都,the trimming 京都本店,トリミング,https://trimming.animal-kyoto.jp/,,不明,,不明,京都市/動物病院併設｜検証: 403 Forbidden、別入口(animal-kyoto.jp/www付き)も403で確認不可
65,初回,兵庫,ドギーパレス 神戸ポートタワー店,サロン/ホテル,https://www.doggy111.com/,,×,,○,神戸市/芦屋｜検証: contact.htmlにフォーム有(氏名/電話/メール/犬猫詳細/内容)、電話・LINEも
66,初回,兵庫,神戸ペットホテル フェリーチェ,ホテル,https://kobe.felice-pet.jp/index2.html,,○,hanako@hanakonet.com,○,神戸市｜検証: contact.htmlにメール掲載、フォーム有(定期確認の旨記載)、電話・LINEも
67,初回,兵庫,dog salon Pele,トリミング/ホテル,https://www.dogsalon-pele.com/,,×,,○,神戸市｜検証: /contact/にフォーム有(氏名/ふりがな/メール/電話/内容)、外部予約reserva.be・電話も
68,初回,兵庫,Amity,トリミング/ホテル,http://www.amity-dog.com/,,不明,,不明,神戸市｜検証: 503 Service Unavailable、http/https・www有無いずれも503で確認不可
69,初回,兵庫,Dog Salon Lien(リアン),サロン,https://dog-salon-lien.com/,,不明,,不明,神戸市西区｜検証: 接続拒否(ECONNREFUSED)、www有無いずれも接続不可で確認不可
70,初回,兵庫,pet salon MINT,トリミング/ホテル,https://petsalon-mint.com/,,○,info@petsalon-mint.com,○,神戸市垂水区｜検証: /contact/にフォーム有(氏名/メール/電話/住所/ペット種別/メニュー/内容)、トップにもメール掲載
71,初回,岡山,ペットサロン フェリーチェ,トリミング/ホテル,https://felice-pet.jp/,,×,,×,岡山市/年中無休｜検証: 予約はアプリ・LINE・電話のみ、/reserve/にフォーム無し
72,初回,岡山,カレン(kallen)ペットサロン,トリミング/ホテル/用品,https://kallen-petsalon.jp/,,×,,×,岡山｜検証: 電話(086-231-5995)のみ、メール・フォーム無し
73,初回,岡山,トリミングサロンSAKURA,トリミング/ホテル,http://trimingsalon-sakura.com/,,不明,,不明,岡山｜検証: http/https/www全て503で確認不可
74,初回,広島,サロン ド トキコ,トリミング/ホテル,https://tokiko.info/,,×,,×,広島市/広島駅近く｜検証: 電話のみ案内、Ameblo誘導、フォーム・メール・リンク無し
75,初回,広島,ドッグサロン風～FUU～,トリミング/ホテル/フード,https://dogsalon-fuu.style/,,×,,○,広島/無添加フード販売｜検証: トップに問合せフォームへのリンク有(氏名/メール/問合せ内容等)
76,初回,広島,m Pet Hotel,ホテル/トリミング,https://m-pet-hotel.com/,,×,,○,広島市中区｜検証: /contact/にフォーム有(氏名/カナ/電話/メール/内容/同意)
77,初回,広島,ペットハウスマリー,ショップ/サロン/ホテル,https://pethouse-mary.com/,,×,,○,広島県｜検証: /contactにフォーム有(姓名/メール/電話/種別/メッセージ/同意。主に求人応募用)
78,初回,広島,Trimming&Hotel DADA,トリミング/ホテル,https://www.dada-pet.com/,,×,,○,広島市/舟入・三篠｜検証: 各店ネット予約(petlife.asia)・LINE予約有、予約・お問合せリンク有
79,初回,福岡,Dog Salon GRACE,ホテル/トリミング/フード,https://dogsalongrace.jp/,092-672-7011,×,,×,福岡市東区千早｜検証: /contact/は電話とLINE案内のみで入力フォーム無し
80,初回,福岡,ペットサロン natural,トリミング/ホテル/用品,https://www.natural2014.com/,,×,,×,福岡市東区/博多区/粕屋郡｜検証: /contact.phpは電話と外部予約システム(itsuaki.com)案内のみ、入力フォーム無し
81,初回,福岡,さくらの木,サロン/ホテル/用品,https://dog.sakuranoki.biz/,,×,,○,福岡市東区名島｜検証: /contact.phpに入力フォーム有(氏名/メール/住所/電話/相談内容)
82,初回,福岡,ビースパ住吉店,ホテル/トリミング,https://b-spa.co.jp/sumiyoshi/,,×,,○,福岡市博多区｜検証: inquiry.htmlに入力フォーム有(氏名/カナ/メール/電話/内容/CAPTCHA)
83,初回,福岡,Shampowan(シャポワン),トリミング,https://shampowan.com/,,×,,○,福岡｜検証: /contact/に入力フォーム有(氏名/カナ/電話/メール/内容/同意)
84,初回,福岡,jolipote,トリミング/ホテル/フード,https://jolipote.com/,,×,,○,福岡市早良区/城南区/西区｜検証: /contact/に入力フォーム有(氏名/フリガナ/メール/項目/内容)
85,初回,福岡,Ozf Mawata,サロン/ホテル,https://www.ozf-mawata.com/,,×,,×,福岡市｜検証: 電話のみ(092-712-3800)、フォーム/Contactリンク無し
86,初回,福岡,pistachio(ピスタチオ),トリミング/ホテル,https://dog-pistachio.com/,092-555-4677,×,,×,福岡市南区｜検証: 電話のみ(092-555-4677)、フォーム/Contactリンク無し
87,初回,熊本,ペットサロン コラット,サロン/ホテル,https://petsaloncorat.com/,,×,,×,熊本市東区｜検証: 電話のみ(096-366-1813)、フォーム/Contactリンク無し
88,初回,熊本,ペットサロンタビー,トリミング/ホテル,https://www.petsalon-tabby.com/,,○,tabby.14118@i.softbank.jp,×,熊本市東区｜検証: infomationページにメール記載、入力フォームは無く電話/メール/予約制
89,初回,鹿児島,カレン動物病院,ホテル/トリミング,https://kalen.pet/hotel,,×,,×,鹿児島市｜検証: 電話のみ(099-297-6363)、Contactページ・入力フォーム無し
90,初回,沖縄,Total pet salon Chouchou,トリミング/ホテル,https://www.chouchou-tvc.jp/,,×,,×,沖縄市与儀｜検証: 電話(098-923-0911)・LINE登録のみ、入力フォーム無し
91,初回,沖縄,サロンドオハナ,ホテル/トリミング,https://salonde-ohana.com/,,×,,○,沖縄市｜検証: /pages/contactに入力フォーム有(氏名/メール/電話/件名/内容)、LINEも
92,初回,沖縄,トリミングサロン Olu Pono,トリミング/ホテル,https://churatown.com/detail/177/index.html,,×,,○,那覇市/古島駅周辺｜検証: contact.htmlにお問合せフォーム、reserve.htmlに予約フォーム有(氏名/メール/TEL等)
93,追加1,北海道,犬の幼稚園HappyDog,ドッグ幼稚園/しつけ,https://kitanodog.com/,,○,kitanodogschool@gmail.com,○,札幌市清田区・中央区｜/contactに入力フォーム、店舗共通メール公開
94,追加1,北海道,ペットホテル オンリーワン,ペットホテル/トリミング,https://www.only-wan.net/,,×,,×,札幌市白石区｜メールフォーム休止中、電話(011-861-4805)のみ
95,追加1,青森,ドッグガーデン青森,ドッグ幼稚園/ホテル,https://doggarden.jp/,,×,,不明,青森市松原｜contact系ページ開けず未確認、電話・LINEは公開
96,追加1,青森,わんぷろ,ドッグ幼稚園/しつけ,https://wanpro-dog.jp/,,○,info@wanpro-dog.com,○,青森市本町｜フッターにmailto公開、/contact/に入力フォーム
97,追加1,岩手,ドッグファームSHINYA,ドッグスクール/しつけ/ホテル,https://dogfarmshinya.com/,,×,,○,盛岡市川目｜メール非公開(電話019-654-3326)、/contact/に入力フォーム
98,追加1,岩手,Le Terrier(ル・テリエ),ペットホテル/トリミング,https://leterrier.jp/,,×,,×,盛岡市黒石野｜メール・フォームなし、店頭/電話誘導のみ
99,追加1,岩手,queue de chouchou,トリミング/ペットホテル,https://queue-de-chouchou.com/,,不明,,不明,盛岡市｜https/http・www有無いずれも503継続で開けず
100,追加1,秋田,ロシナンテ,トリミング/ペットホテル,https://sp5b86d9.wixsite.com/rocinante,,×,,×,秋田市金足追分｜Wixサイト、電話(090-5594-4963)のみ
101,追加1,山形,ONE LUKE 山形駅店,ペットホテル/トリミング,https://oneluke.net/yamagataeki/,,×,,○,山形市｜/contact/に入力フォーム、予約はlit.link外部
102,追加1,山形,isdog 山形店,トリミング/ペットホテル,https://itsumo.dog/9623/,,×,,○,山形市高堂｜/contact/contact.phpに入力フォーム
103,追加1,山形,すい〜とどっぐ,トリミング/ペットホテル/ドッグラン,https://www.sweetdog.info/,,○,info@sweetdog.info,×,山辺町｜メール公開、予約は外部システム(petlife.asia)
104,追加1,宮城,with DOG,トリミング/ドッグ幼稚園/ペットホテル,https://withdog-sendai.jp/,,×,,×,仙台市青葉区旭ヶ丘｜予約は電話/LINE/外部予約、入力フォームなし
105,追加1,宮城,Bowmu,犬の保育園/ドッグホテル/トリミング,https://bowmu.dog/,,不明,,不明,仙台市北六番丁｜トップはヘッダのみ取得、/contact/が502で未確認
106,追加1,宮城,Good Dog,犬の保育園/トリミング/ドッグホテル,https://www.gooddoghoikuensalon.com/,,×,,×,仙台市青葉区｜予約はLINE/電話、入力フォームなし
107,追加1,宮城,I-Glow(アイグロー)仙台店,犬の保育園/トリミング/ホテル,https://iglow-sendai.com/,,×,,○,仙台市青葉区｜お問い合わせはiglow.shop-pro.jpの入力フォーム
108,追加1,福島,2WanHappy,犬の保育園/ペットホテル/トリミング,https://2wanhappy.com/,,×,,○,いわき市平中山｜トップ内に氏名/メール/電話/種別/内容の入力フォーム(電話0246-25-7365)
109,追加1,福島,one zu gate(ワンズゲート),トリミング/一時預かり/ドッグラン,https://onezugate.com/,,○,onezugate0808@500-8107.com,○,三春町(田村郡)｜mailto公開、/contact/に入力フォーム
110,追加1,福島,Pomme d'Adam(ポムダダン),トリミング/ドッグフォトスタジオ,https://pomme-d-adam.com/,,×,,○,福島市陣場町6-14｜/serviceform/に詳細入力フォーム
111,追加1,東京,犬のひみつきち,ドッグ幼稚園・保育園/ペットホテル,https://www.dogs-base.com/,,×,,○,江東区森下｜メール非公開(電話03-3631-2858)、/contact/に入力フォーム
112,追加1,東京,犬の保育園 vowbee,ドッグ幼稚園・保育園,https://vowbee.jp/,,×,,○,調布市仙川/武蔵野・三鷹｜/contact/に入力フォーム、メール非公開で電話のみ
113,追加1,東京,dog studio LOVE WOOF!!,ペットホテル/ドッグ幼稚園/トリミング,https://lovewoof.co.jp/hotel.html,,○,info@lovewoof.co.jp 他,×,新宿区・文京区・品川区・中央区｜各店mailto公開、入力フォームは未確認(予約は電話/メール誘導)
114,追加1,東京,犬のしつけ教室DOGLY,ドッグ幼稚園・保育園/ペットホテル,https://dogly.jp/,,×,,○,台東区根岸(鶯谷)｜inquiry.cgiのSSL入力フォーム、メール非公開
115,追加1,東京,Parco del Cane,ドッグデイケア/犬の保育園,https://tripletta.com/,,×,,○,世田谷区用賀｜/contact/に種別/メール/氏名/電話/内容の入力フォーム
116,追加1,神奈川,DOGSTARS,犬の幼稚園/ドッグホテル/トリミング,https://dogstars.jp/,,×,,×,横浜市中区・神奈川区｜連絡はLINE(2店舗)と電話が主、フォーム・メールなし
117,追加1,神奈川,enbleland 犬の幼稚園,ドッグ幼稚園・保育/トリミング,https://enble-land.com/,,×,,×,横浜市中区｜連絡は公式LINEと電話(080-6886-4946)のみ
118,追加1,神奈川,犬の保育園 ほめほめホーム,犬の保育園/ドッグデイケア,https://homehomehome.jp.net/,,○,yuka.crea0714@gmail.com,×,横浜市泉区｜フォーム不具合中につき現在メール対応、mailto公開
119,追加1,神奈川,ペットホテル＆サロン デルタ,ペットホテル/トリミング,https://www.pethoteldelta.com/,,×,,○,川崎市幸区｜/contactに入力フォーム、予約は/reserve別途
120,追加1,千葉,犬の保育園Baby,ドッグ幼稚園・保育園/ペットホテル/トリミング,https://www.inuhoiku-baby.com/,,不明,,○,習志野市｜/お問い合わせ/に入力フォーム。トップのメールはCloudflare保護で実アドレス判読不可
121,追加1,千葉,ドギー・ワンダーランド,ドッグ幼稚園・保育園/ペットホテル,https://doggy-wl.com/,,×,,○,千葉市中央区｜/contact/にメニュー選択/氏名/メール/本文の入力フォーム
122,追加1,埼玉,のんびーはうす,ペットホテル/犬の幼稚園/トリミング,https://www.nonby-house.com/,,×,,○,さいたま市見沼区ほか多店舗｜/reserveに予約フォーム、メール非公開
123,追加1,埼玉,犬の学校 Minakuru,ドッグ幼稚園・保育園/ペットホテル/トリミング,https://minakuru.in/,,×,,×,さいたま市桜区・大宮区｜LINE・電話中心、トップに入力フォームなし(再確認済)
124,追加1,埼玉,ドッグスクールZERO,犬の保育園/トリミング,https://www.dogschool-zero.jp/,,×,,○,つくば市｜/contactに入力フォーム、LINE/電話併用
125,追加1,栃木,Dog House 陽だまり,犬の保育園/ペットホテル/一時預かり,https://www.hidamari.email/,,×,,○,宇都宮市｜/contactに氏名/Email/件名/メッセージの入力フォーム(メール表記は電話のみ)
126,追加1,栃木,Dog Salon LUDAN,トリミングサロン/ペットホテル,https://dogsalon-ludan.com/,,×,,○,沼田市(群馬)｜/contact/に氏名/電話/メール/犬種/年齢/内容の入力フォーム
127,追加1,静岡,Spottie's Spot(スポッティーズ・スポット),ドッグ幼稚園/お泊り保育/ホテル/しつけ,https://www.spotties-spot.jp/,,×,,○,静岡市清水区横砂中町｜氏名/ふりがな/メール/電話/内容の入力フォーム、メール非公開
128,追加1,静岡,HAMA&WAN(ハマ&ワン),ペットホテル/ドッグラン/トリミング,https://www.hama-wan.com/,,×,,○,浜松市中央区富塚町｜inquiry.htmlに入力フォーム(予約は電話)、メール非公開
129,追加1,山梨,犬の保育園 Mof&Ful,犬の保育園/ドッグホテル/デイ預かり,https://mofandful-dognursery.com/,,○,info@mofandful-dognursery.com,○,甲府市下石田｜フッターにメール公開、お問い合わせページに入力フォーム
130,追加1,長野,ペットシッターKEN.129,犬の幼稚園/ペットホテル/トリミング/しつけ,https://ken-129.com/,,○,petsitter.ken.129@gmail.com,○,長野市松代｜メールをテキスト公開、/contactに入力フォーム
131,追加1,新潟,犬幸村(けんこうむら),ドッグ幼稚園/トリミング/出張トレーニング,https://kenkohmura.jp/,,○,info@kenkohmura.jp,○,三条市・長岡市｜トップにメール記載、/contactにフォームへのリンク
132,追加1,新潟,わんダ～らん(わんわん保育園),わんわん保育園/ペットホテル/トリミング/ドッグラン,https://www.wonderrun.com/,,不明,,不明,新潟市西区槇尾｜www/非www・http/httpsいずれも403で開けず
133,追加1,愛知,Pooches(プーチーズ),犬のデイケア/ドッグホテル/しつけ/犬の学校,https://pooches.jp/,,○,info@pooches.jp,×,名古屋市緑区・守山区｜/contactにアドレスをアット表記で公開、フォームはスパム対策で停止中
134,追加1,愛知,わんわん保育園あおぞら,犬の保育園/ホテル/トリミング/老犬介護,https://wanwan-aozora.com/,,×,,○,名古屋市名東区｜/contact/に名前/メール/電話/用件/本文の入力フォーム
135,追加1,愛知,wanroom,犬の幼稚園/ペットホテル,https://wanroom-pet.com/,,×,,○,名古屋市千種区千代が丘｜/contact/に名前/住所/電話/メール/内容の入力フォーム
136,追加1,岐阜,セカンドハウス,ペットホテル/トリミング/犬の幼稚園/ドッグスクール,https://s-house526.com/,,×,,×,羽島市・関市｜問い合わせは公式LINEまたは電話のみと明記
137,追加1,岐阜,ドッグスクールROOT,犬の幼稚園/出張トレーニング/24時間ドッグジム,https://www.dogschoolroot.com/,,×,,不明,各務原市｜www/非www・http/httpsいずれも403でトップから確認不可
