No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
15,宮城,I-Glow(アイグロー)仙台店,犬の保育園/トリミング/ホテル,https://iglow-sendai.com/,,なし,あり,"仙台市青葉区｜お問い合わせはiglow.shop-pro.jpの入力フォーム"
16,福島,2WanHappy,犬の保育園/ペットホテル/トリミング,https://2wanhappy.com/,,なし,あり,"いわき市平中山｜トップ内に氏名/メール/電話/種別/内容の入力フォーム(電話0246-25-7365)"
17,福島,one zu gate(ワンズゲート),トリミング/一時預かり/ドッグラン,https://onezugate.com/,,公開あり: onezugate0808@500-8107.com,あり,"三春町(田村郡)｜mailto公開、/contact/に入力フォーム"
18,福島,Pomme d'Adam(ポムダダン),トリミング/ドッグフォトスタジオ,https://pomme-d-adam.com/,,なし,あり,"福島市陣場町6-14｜/serviceform/に詳細入力フォーム"
19,東京,犬のひみつきち,ドッグ幼稚園・保育園/ペットホテル,https://www.dogs-base.com/,,なし,あり,"江東区森下｜メール非公開(電話03-3631-2858)、/contact/に入力フォーム"
20,東京,犬の保育園 vowbee,ドッグ幼稚園・保育園,https://vowbee.jp/,,なし,あり,"調布市仙川/武蔵野・三鷹｜/contact/に入力フォーム、メール非公開で電話のみ"
21,東京,dog studio LOVE WOOF!!,ペットホテル/ドッグ幼稚園/トリミング,https://lovewoof.co.jp/hotel.html,,公開あり: info@lovewoof.co.jp 他,なし,"新宿区・文京区・品川区・中央区｜各店mailto公開、入力フォームは未確認(予約は電話/メール誘導)"
22,東京,犬のしつけ教室DOGLY,ドッグ幼稚園・保育園/ペットホテル,https://dogly.jp/,,なし,あり,"台東区根岸(鶯谷)｜inquiry.cgiのSSL入力フォーム、メール非公開"
23,東京,Parco del Cane,ドッグデイケア/犬の保育園,https://tripletta.com/,,なし,あり,"世田谷区用賀｜/contact/に種別/メール/氏名/電話/内容の入力フォーム"
24,神奈川,DOGSTARS,犬の幼稚園/ドッグホテル/トリミング,https://dogstars.jp/,,なし,なし,"横浜市中区・神奈川区｜連絡はLINE(2店舗)と電話が主、フォーム・メールなし"
25,神奈川,enbleland 犬の幼稚園,ドッグ幼稚園・保育/トリミング,https://enble-land.com/,,なし,なし,"横浜市中区｜連絡は公式LINEと電話(080-6886-4946)のみ"
26,神奈川,犬の保育園 ほめほめホーム,犬の保育園/ドッグデイケア,https://homehomehome.jp.net/,,公開あり: yuka.crea0714@gmail.com,なし,"横浜市泉区｜フォーム不具合中につき現在メール対応、mailto公開"
27,神奈川,ペットホテル＆サロン デルタ,ペットホテル/トリミング,https://www.pethoteldelta.com/,,なし,あり,"川崎市幸区｜/contactに入力フォーム、予約は/reserve別途"
28,千葉,犬の保育園Baby,ドッグ幼稚園・保育園/ペットホテル/トリミング,https://www.inuhoiku-baby.com/,,確認不可,あり,"習志野市｜/お問い合わせ/に入力フォーム。トップのメールはCloudflare保護で実アドレス判読不可"
29,千葉,ドギー・ワンダーランド,ドッグ幼稚園・保育園/ペットホテル,https://doggy-wl.com/,,なし,あり,"千葉市中央区｜/contact/にメニュー選択/氏名/メール/本文の入力フォーム"
30,埼玉,のんびーはうす,ペットホテル/犬の幼稚園/トリミング,https://www.nonby-house.com/,,なし,あり,"さいたま市見沼区ほか多店舗｜/reserveに予約フォーム、メール非公開"
31,埼玉,犬の学校 Minakuru,ドッグ幼稚園・保育園/ペットホテル/トリミング,https://minakuru.in/,,なし,なし,"さいたま市桜区・大宮区｜LINE・電話中心、トップに入力フォームなし(再確認済)"
32,埼玉,ドッグスクールZERO,犬の保育園/トリミング,https://www.dogschool-zero.jp/,,なし,あり,"つくば市｜/contactに入力フォーム、LINE/電話併用"
33,栃木,Dog House 陽だまり,犬の保育園/ペットホテル/一時預かり,https://www.hidamari.email/,,なし,あり,"宇都宮市｜/contactに氏名/Email/件名/メッセージの入力フォーム(メール表記は電話のみ)"
34,栃木,Dog Salon LUDAN,トリミングサロン/ペットホテル,https://dogsalon-ludan.com/,,なし,あり,"沼田市(群馬)｜/contact/に氏名/電話/メール/犬種/年齢/内容の入力フォーム"
35,静岡,Spottie's Spot(スポッティーズ・スポット),ドッグ幼稚園/お泊り保育/ホテル/しつけ,https://www.spotties-spot.jp/,,なし,あり,"静岡市清水区横砂中町｜氏名/ふりがな/メール/電話/内容の入力フォーム、メール非公開"
36,静岡,HAMA&WAN(ハマ&ワン),ペットホテル/ドッグラン/トリミング,https://www.hama-wan.com/,,なし,あり,"浜松市中央区富塚町｜inquiry.htmlに入力フォーム(予約は電話)、メール非公開"
37,山梨,犬の保育園 Mof&Ful,犬の保育園/ドッグホテル/デイ預かり,https://mofandful-dognursery.com/,,公開あり: info@mofandful-dognursery.com,あり,"甲府市下石田｜フッターにメール公開、お問い合わせページに入力フォーム"
38,長野,ペットシッターKEN.129,犬の幼稚園/ペットホテル/トリミング/しつけ,https://ken-129.com/,,公開あり: petsitter.ken.129@gmail.com,あり,"長野市松代｜メールをテキスト公開、/contactに入力フォーム"
39,新潟,犬幸村(けんこうむら),ドッグ幼稚園/トリミング/出張トレーニング,https://kenkohmura.jp/,,公開あり: info@kenkohmura.jp,あり,"三条市・長岡市｜トップにメール記載、/contactにフォームへのリンク"
40,新潟,わんダ～らん(わんわん保育園),わんわん保育園/ペットホテル/トリミング/ドッグラン,https://www.wonderrun.com/,,確認不可,確認不可,"新潟市西区槇尾｜www/非www・http/httpsいずれも403で開けず"
41,愛知,Pooches(プーチーズ),犬のデイケア/ドッグホテル/しつけ/犬の学校,https://pooches.jp/,,公開あり: info@pooches.jp,なし,"名古屋市緑区・守山区｜/contactにアドレスをアット表記で公開、フォームはスパム対策で停止中"
42,愛知,わんわん保育園あおぞら,犬の保育園/ホテル/トリミング/老犬介護,https://wanwan-aozora.com/,,なし,あり,"名古屋市名東区｜/contact/に名前/メール/電話/用件/本文の入力フォーム"
43,愛知,wanroom,犬の幼稚園/ペットホテル,https://wanroom-pet.com/,,なし,あり,"名古屋市千種区千代が丘｜/contact/に名前/住所/電話/メール/内容の入力フォーム"
44,岐阜,セカンドハウス,ペットホテル/トリミング/犬の幼稚園/ドッグスクール,https://s-house526.com/,,なし,なし,"羽島市・関市｜問い合わせは公式LINEまたは電話のみと明記"
45,岐阜,ドッグスクールROOT,犬の幼稚園/出張トレーニング/24時間ドッグジム,https://www.dogschoolroot.com/,,なし,確認不可,"各務原市｜www/非www・http/httpsいずれも403でトップから確認不可"
46,岐阜,ドッグケアハウス モプティシェリ,犬の幼稚園/トリミング/ホテル/一時預かり,https://www.monpetit-cheri.jp/,,なし,あり,"岐阜市福光西｜/contactに名前/メール/電話/内容の入力フォーム"
47,三重,Dog Answer(ドッグアンサー),ドッグスクール/犬の幼稚園/ペットホテル/トリミング,https://www.dogschool-tanaka.jp/,,公開あり: @dogschool-tanaka.jp ドメイン,あり,"四日市市小杉平町｜/contact/に入力フォーム(完全アドレスは非表示)"
48,富山,ワンズクラブ富山,犬の学校・保育園/トリミング/ホテル,https://wansclubtoyama-dogs.jimdofree.com/,,なし,あり,"射水市三ケ(アルプラザ小杉内)｜/お問い合わせ/に入力フォーム(CAPTCHA)"
49,石川,いぬの保育園 ペロ(perro),犬の保育園/ドッグトレーニング,https://perro.jp/,,なし,あり,"野々市市稲荷｜/contact/に名前/電話/メール/犬情報/内容の入力フォーム"
50,石川,絆Labo(ラボ),犬のしつけ教室/ペットホテル/シャンプー,https://kizuna-labo.com/,,なし,あり,"金沢市小坂町｜/contact/に入力フォーム、連絡は電話080-9680-7858"
51,福井,PARCOURIL(パルクリール),トリミング/ペットホテル/ショップ,https://parcourir.jp/,,なし,あり,"福井市成和｜/contact/に名前/電話/メール/住所/犬情報/内容の入力フォーム"
52,大阪,DOG WOOF by popomeip,ドッグ幼稚園/トレーニング/トリミング/ホテル,https://popomeip.com/,,なし,なし,"大阪府守口市｜予約・問い合わせは電話(06-6995-4871)のみと明記"
53,大阪,WanWanWan 犬の幼稚園,ドッグ幼稚園/お泊まり保育/トリミング,https://wanwanwan.dog/,,なし,なし,"大阪市(浪速区・天王寺区・西区・北区)｜電話/LINE/Instagramのみ、/contactは404"
54,大阪,ulu,ドッグ幼稚園/一時保育/ホテル/トリミング,https://ulu-petcare.com/,,なし,あり,"大阪市浪速区幸町｜/contact/に名前/メール/電話/住所/内容/カテゴリの入力フォーム"
55,京都,Perrito(ペリート),ドッグ幼稚園/トレーニング/ペットホテル/トリミング,https://www.petit3669.com/,,なし,なし,"京都市伏見区石田大山町｜予約は外部予約システム・LINE・電話、入力フォームなし"
56,京都,るぴこむ わんこのお宿・幼稚園,ペットホテル/ドッグ幼稚園,https://lupicom.com/,,公開あり: lupicom.wan.wan@gmail.com,あり,"京都市中京区(京町家)｜フッターにmailto公開、予約・お問合せフォームあり"
57,京都,mum dog(マムドッグ),犬の保育園/ドッグトレーニング,https://mumdog-kyoto.com/,,なし,あり,"京都市南区吉祥院｜/contact/に名前/フリガナ/メール/電話/犬情報/内容の入力フォーム"
58,京都,DOGアイドル,ペット保育園/ペットホテル/トリミング,https://www.dogidol.net/,,公開あり: hello@dogidol.net,あり,"京都市北区紫野｜フッターにメール、/enquiry問い合わせ・/booking予約フォーム"
59,兵庫,RISPETTO(リスペット),ドッグ幼稚園/デイケア/ペットホテル/トリミング,https://rispetto-dog.com/,,なし,なし,"西宮市(神戸市灘区に姉妹店)｜トップは電話のみのポータル、/contactは404"
60,兵庫,犬の幼稚園 mo-no(モーノ),ドッグスクール/ゲージフリーペットホテル,https://mo-no-inu.com/,,なし,なし,"神戸市垂水区名谷町｜/contactは電話・LINE案内のみで入力フォームなし"
61,奈良,郡山ドッグスクール,ドッグ幼稚園/ドッグホテル/ドッグスクール,https://koriyama-dogschool.com/,,なし,あり,"大和郡山市｜/contact/に氏名/電話/メール/内容の入力フォーム、メール非公開"
62,奈良,K'sドッグスクール 本校,ドッグスクール/ペットホテル/トリミング,https://ksdogschool.com/,,確認不可,確認不可,"奈良市押熊町｜https/http・www有無いずれも403で開けず"
63,滋賀,ドッグサロンナナ,トリミング/ペットホテル,https://dognana.jp/,,なし,なし,"大津市｜TEL 077-524-3873のみ、/contact/は電話案内で入力フォームなし"
64,滋賀,ドッグサロンオズ,トリミング/ペットホテル/ペットシッター,https://dogsalon-oz.com/,,なし,あり,"栗東市(守山市にも店舗)｜/contactに希望プラン/日等の予約問い合わせフォーム"
65,和歌山,ツチヤドッグスクール,ドッグ幼稚園/一時預かり/ドッグスクール,https://www.eonet.ne.jp/~ttdog/,,公開あり: pawkydog@yahoo.co.jp,なし,"和歌山市六十谷｜トップにmailtoでメール公開、入力フォームはなし"
66,鳥取,あおぞらドッグラン,ドッグ幼稚園/ペットホテル/トリミング,https://aozora-d.jp/,,なし,あり,"鳥取市湖山町西4丁目｜/otoiawase/に名前/メール/題名/本文の入力フォーム"
67,島根,ドッグスクール縁,ドッグ幼稚園/ドッグスクール/ホテル,https://dog-school-enn.com/,,なし,あり,"松江市宍道町佐々布｜/contactに入力フォーム(別途Googleフォーム予約も)"
68,香川,i-DOG アイドッグ ラティ高松店,ペットホテル/トリミング/ドッグラン,https://i-dog.jp/hotelandtrimming/,,なし,あり,"高松市多肥上町｜/contactは404だがホテル予約はGoogleフォーム(forms.gle)"
69,広島,ドッグスクール FLAP,ドッグ幼稚園/しつけ教室/ペットホテル,https://dog-sc-flap.lolipop.jp/,,なし,あり,"広島市｜予約は外部フォーム(select-type.com等)、LINE・SNSあり"
70,広島,ペットホテルBRUNO,ペットホテル(ケージフリー),https://aubergecaninebruno.com/,,なし,あり,"広島市東区｜/contact/に氏名/ふりがな/メール/電話/内容の入力フォーム(reCAPTCHA)"
71,広島,ドッグサポート,犬の保育園/トレーニング/ホテル/トリミング,http://www.megaegg.ne.jp/~dog-support/,,確認不可,確認不可,"広島市西区｜http/www有無いずれも503で開けず"
72,山口,ハッピーランドハレルヤ,犬の保育園/しつけ教室/ペットホテル,https://happyland-hareruya.com/,,なし,なし,"山口市朝倉町｜予約は外部システム(reserva.be)、問い合わせはLINE・電話"
73,山口,Pet hotel Laster hill,ペットホテル,https://laster-hill.com/,,公開あり: info@laster-hill.com,あり,"山口市小郡光が丘｜フッターにmailto公開、/cms/pageask0.htmlに入力フォーム"
74,徳島,ペットステーション ジュエル,犬の保育園/ペットホテル/介護,https://petcare-jewel.com/,,公開あり: info@petcare-jewel.com,あり,"徳島市八万町｜トップにメール公開、お問い合わせフォームリンク(予約は外部)"
75,香川,犬・幼稚園 Smart One,ドッグ幼稚園/ペットホテル,https://codogschool-pupguide.com/hotel/,,公開あり: co.dogschool@gmail.com,あり,"高松市木太町｜mailtoでメール公開、ホテル予約フォームあり、LINE相談も"
76,香川,MIKKAドッグライフ,ペットホテル(1日1組),https://mikka-dog.com/dog-hotel/,,公開あり: info.mikka.doglife@gmail.com,あり,"高松市十川西町｜フッターにメール公開、/contact/に入力フォーム"
77,愛媛,ペット保育園ポム,ペット保育園/ペットホテル/トリミング,https://pet-pom.jimdofree.com/,,なし,あり,"松山市勝山町｜お問合わせページに名前/メール/メッセージの入力フォーム(電話089-915-1125)"
78,愛媛,ZOOの森,ペットホテル/トリミング/ドッグエステ,https://petzoo.jp/,,なし,あり,"松山市｜/contact/に仮予約・問い合わせフォーム(電話080-2991-7987)"
79,愛媛,ペットサロン Off Time,トリミング/ペットホテル/一時預かり,https://petsalon-offtime.com/,,なし,なし,"松山市来住町｜完全予約制で電話のみ(089-957-5951)"
80,高知,SEIWASOHドッグスクール,ドッグスクール/犬の保育園/ペットホテル,https://www.seiwasoh.com/,,公開あり: seiwasoh0022@outlook.jp,あり,"高知市仁井田｜/contactに入力フォーム、メールはプライバシーポリシー欄に記載"
81,福岡,犬の保育園 Hana,ドッグ幼稚園/ホテル/トリミング,https://inunohoikuen-hana.com/,,なし,なし,"福岡市東区筥松｜予約とも電話案内(080-8328-8787)/LINE中心、実フォーム未確認"
82,福岡,ドッグライフプランナーズ福岡校,ドッグ幼稚園/ホテル/しつけ,https://dlp-fuk.com/,,なし,なし,"福岡市南区玉川町｜問い合わせフォーム(/main/postmail/)は停止中、電話のみ(092-553-6667)"
83,福岡,ドッグサロン SaPone(サポネ),ドッグ幼稚園/ホテル/トリミング,https://dog-sapone.com/,,なし,なし,"那珂川市今光｜問い合わせ/予約ページなし、/contactは404、電話のみ(092-408-3381)"
84,福岡,TKS-Dog Sports Club,ドッグ幼稚園/ホテル/しつけ,https://www.tks-dogsportsclub.com/,,なし,あり,"那珂川市南畑｜トップに名前/メール/件名/本文の問い合わせフォーム"
85,佐賀,SAGAドッグスクール,しつけ/ペットホテル,https://sagadogschool.com/,,なし,あり,"佐賀市富士町｜/contactに名前/メール/住所/電話/メッセージの入力フォーム(電話0952-51-0035)"
86,長崎,長崎企画(犬訓練所),しつけ/ペットホテル/トリミング,https://www.nagasaki-dogkunren.com/,,公開あり: cielo.luce.2@icloud.com,なし,"長崎市｜ページ下部にメール掲載、フォームなし(電話095-856-6311)"
87,熊本,ドッグサロンミラ,トリミング/ペットホテル,https://dogsalon-mira.com/,,なし,なし,"熊本市(新屋敷本店・光の森店)｜予約・問い合わせは電話のみ(096-201-4090)"
88,大分,ONE'S COOL(わんずくーる),ドッグ保育園/デイケア/ホテル,https://www.onescool.com/,,公開あり: contact@onescool.com,なし,"別府市石垣西｜問い合わせ用メール掲載(24時間受付)、Webフォームなし"
89,宮崎,Dogsalon&Hotel とろろ,トリミング/ペットホテル/室内ドッグラン,https://petsalontororo.com/,,なし,なし,"宮崎市広島｜予約はLINE中心、電話0985-88-1066、フォーム・メールなし"
90,宮崎,にゃんこの手,ペットホテル(ケージレス),https://nyankonote.com/,,公開あり: toiawase@nyankonote.com,あり,"宮崎市(宮崎空港近く)｜会社情報欄にメール掲載、/nyawp/toiawase/に問い合わせフォーム"
91,鹿児島,DOG REST,託児/デイケア/ペットホテル/トリミング,https://dogrest-kagoshima.com/,,なし,なし,"鹿児島市下荒田｜/contactとも入力欄なし、電話・LINEのみ"
92,沖縄,Pet Watch ペットウォッチ沖縄,保育園/デイケア/ホテル/トリミング(ケージレス),https://pet-watch.org/,,なし,なし,"沖縄市｜/contactusに入力欄なし、電話のみ(098-989-0559)"
93,沖縄,Happy dog(ハッピードッグ),保育園/デイケア/ホテル/トリミング/しつけ,https://www.okinawa-happy-dog.com/,,なし,あり,"うるま市｜/contactに名前/メール/電話/問い合わせ内容のフォーム(トリミング等はLINE誘導)"
94,沖縄,ワンニャンじゃんぐる,トリミング/ペットホテル,https://www.12jungle.co.jp/,,なし,あり,"那覇市具志｜/contactに名前/メール/電話/内容のフォーム(ホテル等は外部予約/LINE)"
