No,エリア,店舗名,業種,公式サイトURL,電話(検索で判明分),メール,問い合わせフォーム,備考
41,群馬,トリミングサロンHappiness,トリミングサロン,https://tsaron-happiness.com/,,なし,あり,"前橋市上大屋町327-33｜/contact/にフォーム(reCAPTCHA)、別途外部予約システム"
42,愛知,N.more(エヌ・モア),ドッグサロン・トリミング,https://n-more-dogsalon.com/,,なし,なし,"豊田市小川町1丁目3-3｜完全予約制で電話0565-32-9575のみ"
43,愛知,dog salon tsumugi(ツムギ),ドッグサロン・トリミング/ペットホテル,https://tsumugi-dogsalon.com/,,なし,なし,"岡崎市竜泉寺町東柄栗19｜/contactはInstagram・LINE・電話090-1783-2690誘導のみ"
44,愛知,ドッグ&キャット アディー・,トリミングサロン/ペットホテル,https://addypet.com/,,なし,あり,"一宮市奥町神田11-3｜お問い合わせフォーム(page_id=5496)、電話0586-61-7667"
45,愛知,ドッグサロン・ベルーガ,ドッグサロン(トリミング&犬の整体),https://dog-beluga.com/,,公開あり: minatominato@nifty.com,なし,"豊橋市南大清水町富士見366-3｜トップにメール明記、電話0532-25-3220、入力フォームなし"
46,愛知,トリミングサロンglaffy(ぐらっふぃ),トリミングサロン,https://glaffy.com/,,なし,あり,"豊川市蔵子5丁目13-50｜予約・お問い合わせフォーム(page_id=109)"
47,愛知,Paw Dog(パウドッグ),犬の幼稚園,https://www.pawdog-k.com/,,なし,あり,"刈谷市銀座4丁目78-2｜/form.htmlにフォーム(CAPTCHA)、予約は外部Coubic"
48,静岡,わんわん美容室,トリミングサロン/ペットホテル,https://www.wanwan-pet.jp/,,なし,あり,"浜松市中央区舘山寺町2047-5｜トップが/contact/を「メールフォーム」と明記(contactは403)"
49,静岡,トリミングサロン DISA,トリミングサロン/ペットホテル,https://www.trimmingdisa.com/,,なし,あり,"静岡市葵区唐瀬｜/contactフォーム、Web予約は外部(yoyaku-beauty.jp)、LINEも"
50,静岡,Salon Wan(サロンワン),トリミングサロン/ペットホテル,https://salon-wan.com/,,なし,なし,"静岡市駿河区栗原8-11｜電話054-262-4820のみ"
51,静岡,ドッグサロンIvy(アイビー),ドッグサロン(トリミング専門),https://dogsalon-ivy.com/,,なし,なし,"富士市錦町1丁目14-27｜連絡先表示のみで入力フォームなし、電話0545-32-8670"
52,山梨,ペットサロン テディーハウス,ペットサロン(トリミング/ホテル/ドッグラン),https://teddyhouse.jp/,,なし,なし,"甲斐市西八幡672｜予約・お問合せは電話055-233-5621のみ"
53,山梨,イシハラドッグサロン甲府本店,トリミングサロン/ペットホテル,https://ishiharadogsalon.com/,,なし,なし,"甲府市平和通り｜問い合わせは電話・LINE誘導のみ、入力フォームなし"
54,長野,Dogsalon mania(ドッグサロン マニア),トリミングサロン,https://dogsalon-mania.com/,,なし,なし,"松本市梓川倭3207-3｜/inquiryに「お問い合わせは電話のみ」と明記、電話0263-78-6464"
55,長野,ドッグサロン ONE SmiLE,トリミングサロン(ドッグホテル併設),https://www.one-smile.biz/,,なし,あり,"長野市三輪8-32-20｜/contact.htmlに名前/電話/E-mail/内容の入力フォーム、電話026-232-1008"
56,新潟,Dogsalon KUU,トリミングサロン(小型犬専用),https://kuukuu.biz/,,なし,あり,"上越市｜/contactに氏名/メール/電話/犬種/本文/サービス選択の入力フォーム、LINEも"
57,新潟,Dog Salon Le'a(レア),トリミングサロン(小型〜中型犬),https://dogsalon-lea-nagaoka.com/,,なし,なし,"長岡市泉1-6-23｜予約はLINE・Instagram DM・電話070-9201-8646のみ"
58,富山,犬の美容室 チェリッシュ(CHERISH),トリミング/ドッグサロン(ホテル併設),https://www.cherish-dog.com/,,公開あり: cherish-dog@outlook.jp,あり,"富山市堀川本郷15-157｜/blank-3にフォーム+メール記載、予約は外部カレンダー"
59,富山,Doggy Paradise(ドギーパラダイス),トリミング/ペットホテル/ドッグカフェ,https://www.doggyparadise2020.com/,,なし,あり,"富山市布瀬町南2-10-8｜/contactにフォーム、トリミング予約は外部(petlife.asia)"
60,石川,dogsalon Colche(コルチェ),トリミングサロン(小型犬専門),https://www.colchedog.com/,,なし,確認不可,"金沢市南新保町ハ36-3｜「専用フォームより承る」と記載あるがフォームURL不明、連絡は電話/LINE/Instagram"
61,石川,ペッテルかなざわ(PETTEL KANAZAWA),トリミングサロン/ペットホテル(犬猫専門),https://pettel-k.com/,,なし,なし,"金沢市西念3丁目14番3号｜電話・FAX(076-222-0021)とInstagramのみ"
62,福井,トリミングサロン bubble,トリミングサロン(犬専門・ミニドッグラン併設),https://trimmingsalon-bubble.com/,,なし,なし,"福井市中野1丁目1410｜予約は電話・LINE・Instagram DMのみ"
63,岐阜,Fuwalier(フワリエ),トリミング・ドッグサロン,https://fuwalier-dog.com/,,なし,なし,"岐阜市柳津町北塚2丁目117｜外部ネット予約(tol-app)・LINE・電話、ページ内フォーム無し"
64,岐阜,DOG.OASIS.コロン,トリミングサロン/ペットホテル(ドッグラン併設),https://dogsalon-koron.com/,,なし,あり,"岐阜市本郷町｜/inquiry/に名前/メール/電話/内容の入力フォーム"
65,三重,mof.dog design(モフドッグ デザイン),ドッグサロン(トリミング),https://www.mof-dogdesign.jp/,,なし,あり,"四日市市東新町13-2-2｜/contactにフォーム、WEB予約は外部(petlife.asia)"
66,三重,Dog salon WAAN(ドッグサロンワーン),トリミングサロン,https://www.dogsalon-waan.com/,,なし,あり,"四日市市浜田町9-10｜/contactにフォーム、WEB予約は準備中で電話案内"
67,大阪,pet salon TRUST,トリミング/ペットホテル,https://www.petsalon-trust.com/,,なし,なし,"大阪市西区北堀江｜予約はLINE/電話/Instagram、フォーム・メールなし"
68,大阪,Dog salon Calla lily(カラー),トリミング,https://www.dogsalon-calla.com/,,なし,なし,"大阪市住之江区中加賀屋｜外部WEB予約(petlife.asia)・電話、ページ内フォームなし"
69,大阪,pet salon Dearest,トリミング/ペットショップ,https://www.petsalondearest.com/,,なし,あり,"大阪市西区北堀江｜/contact/にフォーム、予約は外部(petlife.asia)/LINE"
70,大阪,DOG SALON Muu,トリミング,https://www.dogsalon-muu.jp/,,確認不可,確認不可,"堺市堺区二条通｜www/非www・https複数回試行も503/500/timeoutで開けず"
71,大阪,トリミングハウス OHANA,ドッグサロン/トリミング,https://ohana-dog.com/,,なし,なし,"堺市北区新金岡｜予約・問い合わせは電話(072-275-5087)・LINEのみ"
72,大阪,ドッグサロンひだまり,トリミング/一時預かり,https://www.dogsalon-hidamari.com/,,なし,あり,"豊中市長興寺北｜/contactにフォーム、予約は外部WEB/LINE"
73,大阪,わん子ん家 天王寺てんしば店,犬の幼稚園/しつけ/ペットホテル,https://wankonchi.jp/school/school-info/tenshiba/,,なし,あり,"大阪市天王寺区｜/school/contact/に内容種別/希望校/名前/メール/電話/本文の入力フォーム"
74,大阪,犬のほいくえん Pee-Ka-Boo,ドッグ保育園/預かり,https://www.pee-ka-boo.net/,,公開あり: info@pee-ka-boo.net,なし,"大阪市(九条店/玉造店)｜トップにメール2箇所記載、予約はLINE/電話で入力フォームなし"
75,大阪,smart-dog,ドッグ幼稚園/しつけ,https://smart-dog.net/,,公開あり: smartdog0629@gmail.com,あり,"大阪市平野区平野北｜/inquiryform/にフォーム+メール明記"
76,京都,shuclia(シュークリア),トリミング/ペットケア,https://shuclia.com/,,なし,なし,"亀岡市追分町｜問い合わせフォーム/メール/Contactリンクとも見当たらず"
77,京都,ドッグサロンなごみ,トリミング/ペットホテル,https://www.dog-salon-nagomi.com/,,なし,あり,"京都市伏見区(向日・長岡京送迎)｜/contactに名前/メール/電話/内容の入力フォーム、電話075-202-9976"
78,京都,DOG SALON 京都ドッグス,トリミング,https://kyoto-dogs.com/,,なし,あり,"京都市左京区｜WEB仮予約システム・LINE予約・電話0120-051-382(外部予約フォーム)"
79,兵庫,Dog Salon ICHI,トリミング/ペットホテル,https://dogsalon-ichi.jp/,,なし,あり,"姫路市広畑区｜/contactに名前/メール(確認含む)/内容の入力フォーム"
80,兵庫,ドッグサロンViVi,トリミング/ペットホテル,https://dogsalon-vivi.com/,,なし,あり,"姫路市勝原区｜/contactに問い合わせフォーム、電話079-274-2203、LINE予約も"
81,兵庫,NINE BASE(ナインベース),トリミング/エステ/ペットホテル,https://www.dogdesign-ninebase.com/,,なし,なし,"姫路市飾磨区｜電話079-238-3767・LINE・Instagramのみ、入力フォーム無"
82,兵庫,ドッグサロンmana*,トリミング/ペットホテル,https://dogsalon-mana.com/,,なし,なし,"明石市(神戸市含む)｜mail.htmlは「メールフォーム一時休止中」、電話078-914-6628のみ"
83,兵庫,ドッグサロン ワンズライフ,トリミング,https://wans-life.com/,,なし,なし,"明石市小久保｜電話/FAX 078-962-5125のみ、問い合わせ/予約リンクもフォームも無"
84,兵庫,いぬまるドッグサロン,ドッグサロン/トリミング,https://inumaru-dog-salon.com/,,なし,あり,"明石市大久保町｜/contactに名前/メール/電話/本文の入力フォーム、電話080-3845-1156/LINE"
85,兵庫,Dog salon cocode,トリミング,https://dog-cocode.com/,,なし,なし,"明石市野々上(西明石)｜電話078-945-5072のみ(予約優先)、入力フォーム無"
86,滋賀,DOG SALON REVE(レーヴ),トリミング/ペットサロン,https://dog-reve.jp/,,なし,なし,"草津市下笠町(栗東対応)｜電話077-568-8120・Instagramのみ、問い合わせフォーム無"
87,滋賀,Dog Salon Lavandula,トリミング,https://www.dogsalonlavandula.com/,,なし,あり,"大津市石山寺｜/contactに入力フォーム、LINE予約も"
88,奈良,Dog Salon ONE WAN,トリミング,https://www.dogsalon-onewan.com/,,なし,なし,"生駒郡(法隆寺駅近く)｜電話090-3948-3085・LINE予約のみ、入力フォーム無"
89,奈良,わんだふる,トリミング,https://www.trimmingsalon-wonderful.com/,,なし,あり,"香芝市良福寺｜WEB予約フォーム(外部:petlife.asia)と/contactリンク、電話080-3798-1101"
90,和歌山,DOG SALON POCHI,トリミング/預かり,https://pochiwakayama.jimdofree.com/,,確認不可,確認不可,"和歌山市西庄｜メールはCloudflare保護で実アドレス不可視、電話073-419-0019、フォーム有無も確認不可"
91,岡山,pet salon MOJOKA,トリミングサロン(犬猫),https://www.petsalon-mojoka.com/,,なし,なし,"岡山市中区浜2-9-18｜電話070-9095-8201・LINE予約のみ、/contactも案内のみ"
92,岡山,BEAU MONDE(ボーモンド),ドッグサロン/トリミング/ホテル,https://www.beaumonde.co.jp/,,なし,なし,"倉敷市笹沖362-53｜電話086-427-1500のみ、入力フォーム無"
93,岡山,Dogsalon&Cafe PawPads,トリミングサロン/カフェ,https://dog-salon-pawpads.com/,,なし,あり,"岡山市北区西長瀬1210-1｜Web予約フォーム(外部:Coubic)、電話086-280-9656/Instagram"
94,広島,ドッグサロン Petit,トリミングサロン,https://www.dogsalon-petit.com/,,なし,確認不可,"福山市沼隈町草深2013-2｜/contactリンクあるが500/503/timeoutで開けずフォーム内容未確認"
95,広島,Dog Salon TRIANGLE,トリミングサロン,https://dogsalon-triangle.com/,,なし,あり,"福山市明神町1-8-26｜/contactに名前/メール/住所/電話/本文の入力フォーム、電話084-991-3165"
96,広島,ペットの美容室 BiBi,ドッグサロン/トリミング,https://pet-bibi.com/,,公開あり: reserve@pet-bibi.com,あり,"広島市南区上東雲町9-25｜/contact/にフォーム(CAPTCHA)+mailto掲載、別途予約システム"
97,広島,ペット美容室 SARY,ペット美容室/トリミング,https://pet-sary.com/,,なし,あり,"広島市西区庚午南｜新規予約フォーム(sary.pos-s.net/reserve/)、電話/LINEも"
98,広島,Dog salon Lien(リアン),トリミングサロン,https://lien-kure.com/,,なし,なし,"呉市焼山中央1-5-2｜予約・問い合わせはLINEと電話のみ"
99,広島,出張トリミングカー ドッグサロンあかり,出張トリミング,https://dogsalon-akari.com/,,なし,なし,"呉市・東広島市・熊野町ほか｜連絡はLINE予約と電話のみ"
100,鳥取,dog&cat MONTA(モンタ),ペットサロン/トリミング,http://dc-monta.com/,,確認不可,確認不可,"鳥取市興南町｜http/https/www全てECONNREFUSEDで接続不可"
101,鳥取,ドッグサロンポワ,ドッグサロン/トリミング,http://dogsalonpoir.jp/,,確認不可,確認不可,"鳥取市立川町5-51-16｜http/https/www全て503で開けず"
102,島根,ペットサロン リボン,ペットサロン/トリミング/ホテル,https://www.petsalon-ribbon.jp/,,なし,なし,"松江市西津田3-13-22｜電話(0852-26-7313)とFacebookのみ"
103,山口,ドッグサロンバウ,トリミングサロン,https://dogsalonbow.com/,,公開あり: dogsalonbow@gmail.com,なし,"山口市朝田352-13｜お問合せページにmailto掲載、フォームはなくLINE/メール/電話誘導"
104,徳島,Pet House わん's,ペットホテル&トリミングサロン,https://www.pethouse-wans.com/,,なし,あり,"徳島市城東町2-2-3｜contact.phpにメールフォーム(完全予約制)"
105,徳島,愛犬サロン&愛犬ホテル ラブペティ,ドッグサロン&ペットホテル,https://www.love-pety.com/,,なし,なし,"徳島市応神町吉成字前須20-5｜電話(088-678-8123)のみ、フォーム・メールなし"
106,香川,dog salon CLANTE,トリミングサロン,https://www.clantedogsalon2020.com/,,なし,あり,"高松市今里町393-2｜/contactに名前/メール/電話/内容の入力フォーム(全必須)"
107,香川,ペットサロン&ミニドッグランWOM 高松檀紙店,ドッグサロン/ドッグラン,https://www.wom-dogsalon.com/,,なし,あり,"高松市檀紙町765-1｜予約は外部予約カレンダー(book-online)、問い合わせは電話/LINE/Instagram"
108,高知,AMERICAN DOG(アメリカンドッグ),トリミング/グルーミング/ペットホテル,https://americandog.jp/,,なし,なし,"高知市本町3-2-48｜電話(080-2556-3102)のみ、フォーム・メールなし"
109,高知,ドッグアンドシー,ドッグラン&トリミングサロン/ホテル,https://dog-and-sea.com/,,公開あり: wanwan@dog-and-sea.com,あり,"高知市春野町弘岡下2655-7｜フッターにメール掲載、/inquery/に名前/メール/題名/本文の入力フォーム"
110,福岡,ピコワンワンショップ,トリミング/ペットホテル,https://www.picowanwan.co.jp/,,なし,あり,"北九州市小倉南区守恒本町｜トップにWeb予約フォーム(EPARK petlife)、問い合わせページは404"
111,福岡,ペットサロン Dspace,トリミング/ペットホテル/デイケア,https://www.dspace-kokura.com/,,なし,あり,"北九州市小倉南区｜contact.phpに入力欄付き問い合わせ/予約フォーム"
112,福岡,グルーミングサロン オラージュ,ペット美容室/ペットホテル,https://orage8.xyz/,,なし,なし,"北九州市小倉北区赤坂本町2-7-9｜contact.htmlはLINE/電話誘導のみ、予約は外部E-PARK"
113,福岡,Pet salon Ammy(アミイ),トリミングサロン,https://www.petsalon-ammy.com/,,なし,あり,"北九州市八幡西区陣原5-2-8｜/contactに名前/メール/電話/内容のフォーム(新規予約は電話のみ)"
114,福岡,ドッグアカデミーPePeDOG,犬の保育園/しつけ/グルーミング,https://pepedog.net/,,なし,あり,"北九州市若松区塩屋2-1-11｜/contact/に用件/名前/住所/電話/メール/ペット情報/内容のフォーム"
115,福岡,BULL STAR,トリミングサロン/ホテル,https://bullstar.jp/,,なし,あり,"久留米市荒木町｜/contact/に名前/メール/電話/犬種/問合せ内容のフォーム、TEL080-9100-2607"
116,福岡,どっぐぱーる,トリミングサロン,https://www.dog-pearl.com/,,なし,あり,"久留米市津福本町｜/contactにフォーム、Web予約(petlife.asia)、TEL0942-33-3935"
117,熊本,ペットラウンジ le chien(ルシアン),トリミング/ペットホテル/老犬ホーム,https://www.petlounge-lechien.com/,,なし,あり,"熊本市西区松尾2-3-15｜contact.phpにフォーム(メール問い合わせは停止明記)、LINE/TEL案内"
118,大分,トリミングサロン Licotta,トリミングサロン,https://www.trimming-licotta.com/,,なし,あり,"大分市岩田町2-20-16｜/contactにフォーム、Web予約(petlife.asia)、TEL097-552-6845"
119,大分,FLUFFY+(フラッフィープラス),ドッグサロン/プレイルーム/ホテル,https://www.fluffy-plus.com/,,なし,あり,"大分市上宗方｜/contactに名前/メール/電話/問合せ内容のフォーム、TEL090-7580-6850"
120,大分,ドッグサロン ミュウ,トリミングサロン/ペットホテル,https://www.dogsalonmiu.com/,,なし,なし,"大分市王子南町1-31｜トップに電話番号のみ、専用問合せページ・フォームなし"
121,宮崎,ドッグサロン Wanna Relax(ワンリラ),トリミングサロン,https://www.wannarelax.jp/,,なし,あり,"宮崎市吉村町｜/contactに名前/メール/電話/問合せ内容のフォーム、Web予約(petlife.asia)、TEL0985-69-7751"
122,宮崎,ドッグサロンLibra,犬の美容室,https://dogsalon-libra.com/,,なし,なし,"宮崎市｜電話(0985-89-2614)とLINE(QR)のみ、フォーム・問合せページなし"
123,鹿児島,ドッグサロン エマ,トリミング/ホテル/室内ドッグラン,https://www.dogsalon-emma.jp/,,確認不可,確認不可,"鹿児島市池之上町1-1｜https/http・www有無・トップいずれも403で開けず"
124,佐賀,ドッグサロン いぬばか,トリミングサロン/ペットホテル,https://inu-baka.com/,,なし,なし,"佐賀市｜/contactは「お問い合わせはお電話で」、LINE/Airリザーブ予約、TEL0952-65-3078"
125,佐賀,犬の美容室 クララ,トリミングサロン/ペットホテル,http://www.petsalon-clara.com/,,なし,なし,"佐賀市川副町犬井道1190-2｜電話(090-8404-9608)のみ、完全予約制で電話のみ"
126,佐賀,Dog Lovers,トリミングサロン,https://saga-doglovers.com/,,なし,あり,"小城市三日月町長神田787-4｜/contact/に名前/フリガナ/電話/住所/メール/問合せ内容のフォーム、TEL0952-60-2600"
127,長崎,dog salon ナナイロ,トリミングサロン,https://dog-nanairo.com/,,なし,なし,"長崎市西海町1779-29｜LINE予約と電話(080-7833-0311)のみ、入力フォームなし"
128,長崎,DOGBOX(ハウステンボス店),トリミング/ペットホテル/ドッグラン,https://www.dogbox.me/,,なし,なし,"佐世保市ハウステンボス｜各店電話番号とFacebookのみ、フォームなし"
129,沖縄,ドッグサロン carone(カロネ),トリミングサロン/ペットホテル,https://www.dogsalon-carone.com/,,なし,あり,"那覇市三原3-18-23｜/contactに名前/メール/電話/問合せ内容のフォーム、Web予約(petlife.asia)、TEL098-851-7769"
