営業No,店舗名,メールアドレス,エリア,業種,公式サイトURL,flag,元の記載
68,ONE LUKE 静岡葵区店,,静岡,トリミング/ホテル,https://oneluke.net/shizuokaaoi/,メール無し(フォーム連絡のみ),
69,ONE LUKE 長野店,,長野,トリミング/ホテル,https://oneluke.net/nagano/,メール無し(フォーム連絡のみ),
70,DOGCAT COCO,,愛知,トリミング/ホテル,https://dogcatcoco.net/,メール無し(フォーム連絡のみ),
71,Furufuru(フルフル),,愛知,トリミング/ホテル,https://furu-furu.net/,メール無し(フォーム連絡のみ),
72,ペットサロンジャスミン,,愛知,トリミング,https://www.m-jasmine.com/,メール無し(フォーム連絡のみ),
73,Étoile(エトワール),,愛知,ホテル/トリミング,https://etoile-pet.com/,メール無し(フォーム連絡のみ),
74,ONE LUKE 名駅店,,愛知,トリミング/ホテル,https://oneluke.net/nakamurakumeieki/,メール無し(フォーム連絡のみ),
75,OPPペットクラブ24,,大阪,ホテル,https://www.opp-petclub24.com/,メール無し(フォーム連絡のみ),
76,PetSalon&Hotel MaG,,大阪,トリミング/ホテル,https://www.mag-20415.com/,メール無し(フォーム連絡のみ),
77,Dog Salon CREA,,大阪,トリミング/ホテル,https://www.dogsaloncrea.com/,メール無し(フォーム連絡のみ),
78,ONE LUKE 大阪中央区店,,大阪,トリミング/ホテル,https://oneluke.net/osakachuo/,メール無し(フォーム連絡のみ),
79,PETSALON&HOTEL chere(シェール),,大阪,サロン/ホテル,https://www.petsalon-chere.com/,メール無し(フォーム連絡のみ),
80,ペットトリミングサロンTOY,,京都,トリミング/ホテル,https://www.trimmingsalon-toy.com/,メール無し(フォーム連絡のみ),
81,ドギーパレス 神戸ポートタワー店,,兵庫,サロン/ホテル,https://www.doggy111.com/,メール無し(フォーム連絡のみ),
82,dog salon Pele,,兵庫,トリミング/ホテル,https://www.dogsalon-pele.com/,メール無し(フォーム連絡のみ),
83,ドッグサロン風～FUU～,,広島,トリミング/ホテル/フード,https://dogsalon-fuu.style/,メール無し(フォーム連絡のみ),
84,m Pet Hotel,,広島,ホテル/トリミング,https://m-pet-hotel.com/,メール無し(フォーム連絡のみ),
85,ペットハウスマリー,,広島,ショップ/サロン/ホテル,https://pethouse-mary.com/,メール無し(フォーム連絡のみ),
86,Trimming&Hotel DADA,,広島,トリミング/ホテル,https://www.dada-pet.com/,メール無し(フォーム連絡のみ),
87,さくらの木,,福岡,サロン/ホテル/用品,https://dog.sakuranoki.biz/,メール無し(フォーム連絡のみ),
88,ビースパ住吉店,,福岡,ホテル/トリミング,https://b-spa.co.jp/sumiyoshi/,メール無し(フォーム連絡のみ),
89,Shampowan(シャポワン),,福岡,トリミング,https://shampowan.com/,メール無し(フォーム連絡のみ),
90,jolipote,,福岡,トリミング/ホテル/フード,https://jolipote.com/,メール無し(フォーム連絡のみ),
91,サロンドオハナ,,沖縄,ホテル/トリミング,https://salonde-ohana.com/,メール無し(フォーム連絡のみ),
92,トリミングサロン Olu Pono,,沖縄,トリミング/ホテル,https://churatown.com/detail/177/index.html,メール無し(フォーム連絡のみ),
93,ドッグファームSHINYA,,岩手,ドッグスクール/しつけ/ホテル,https://dogfarmshinya.com/,メール無し(フォーム連絡のみ),
94,ONE LUKE 山形駅店,,山形,ペットホテル/トリミング,https://oneluke.net/yamagataeki/,メール無し(フォーム連絡のみ),
95,isdog 山形店,,山形,トリミング/ペットホテル,https://itsumo.dog/9623/,メール無し(フォーム連絡のみ),
96,I-Glow(アイグロー)仙台店,,宮城,犬の保育園/トリミング/ホテル,https://iglow-sendai.com/,メール無し(フォーム連絡のみ),
97,2WanHappy,,福島,犬の保育園/ペットホテル/トリミング,https://2wanhappy.com/,メール無し(フォーム連絡のみ),
98,Pomme d'Adam(ポムダダン),,福島,トリミング/ドッグフォトスタジオ,https://pomme-d-adam.com/,メール無し(フォーム連絡のみ),
99,犬のひみつきち,,東京,ドッグ幼稚園・保育園/ペットホテル,https://www.dogs-base.com/,メール無し(フォーム連絡のみ),
100,犬の保育園 vowbee,,東京,ドッグ幼稚園・保育園,https://vowbee.jp/,メール無し(フォーム連絡のみ),
101,犬のしつけ教室DOGLY,,東京,ドッグ幼稚園・保育園/ペットホテル,https://dogly.jp/,メール無し(フォーム連絡のみ),
102,Parco del Cane,,東京,ドッグデイケア/犬の保育園,https://tripletta.com/,メール無し(フォーム連絡のみ),
103,ペットホテル＆サロン デルタ,,神奈川,ペットホテル/トリミング,https://www.pethoteldelta.com/,メール無し(フォーム連絡のみ),
104,犬の保育園Baby,,千葉,ドッグ幼稚園・保育園/ペットホテル/トリミング,https://www.inuhoiku-baby.com/,メール無し(フォーム連絡のみ),
105,ドギー・ワンダーランド,,千葉,ドッグ幼稚園・保育園/ペットホテル,https://doggy-wl.com/,メール無し(フォーム連絡のみ),
106,のんびーはうす,,埼玉,ペットホテル/犬の幼稚園/トリミング,https://www.nonby-house.com/,メール無し(フォーム連絡のみ),
107,ドッグスクールZERO,,埼玉,犬の保育園/トリミング,https://www.dogschool-zero.jp/,メール無し(フォーム連絡のみ),
108,Dog House 陽だまり,,栃木,犬の保育園/ペットホテル/一時預かり,https://www.hidamari.email/,メール無し(フォーム連絡のみ),
109,Dog Salon LUDAN,,栃木,トリミングサロン/ペットホテル,https://dogsalon-ludan.com/,メール無し(フォーム連絡のみ),
110,Spottie's Spot(スポッティーズ・スポット),,静岡,ドッグ幼稚園/お泊り保育/ホテル/しつけ,https://www.spotties-spot.jp/,メール無し(フォーム連絡のみ),
111,HAMA&WAN(ハマ&ワン),,静岡,ペットホテル/ドッグラン/トリミング,https://www.hama-wan.com/,メール無し(フォーム連絡のみ),
112,わんわん保育園あおぞら,,愛知,犬の保育園/ホテル/トリミング/老犬介護,https://wanwan-aozora.com/,メール無し(フォーム連絡のみ),
113,wanroom,,愛知,犬の幼稚園/ペットホテル,https://wanroom-pet.com/,メール無し(フォーム連絡のみ),
114,ドッグケアハウス モプティシェリ,,岐阜,犬の幼稚園/トリミング/ホテル/一時預かり,https://www.monpetit-cheri.jp/,メール無し(フォーム連絡のみ),
115,ワンズクラブ富山,,富山,犬の学校・保育園/トリミング/ホテル,https://wansclubtoyama-dogs.jimdofree.com/,メール無し(フォーム連絡のみ),
116,いぬの保育園 ペロ(perro),,石川,犬の保育園/ドッグトレーニング,https://perro.jp/,メール無し(フォーム連絡のみ),
117,絆Labo(ラボ),,石川,犬のしつけ教室/ペットホテル/シャンプー,https://kizuna-labo.com/,メール無し(フォーム連絡のみ),
118,PARCOURIL(パルクリール),,福井,トリミング/ペットホテル/ショップ,https://parcourir.jp/,メール無し(フォーム連絡のみ),
119,ulu,,大阪,ドッグ幼稚園/一時保育/ホテル/トリミング,https://ulu-petcare.com/,メール無し(フォーム連絡のみ),
120,mum dog(マムドッグ),,京都,犬の保育園/ドッグトレーニング,https://mumdog-kyoto.com/,メール無し(フォーム連絡のみ),
121,郡山ドッグスクール,,奈良,ドッグ幼稚園/ドッグホテル/ドッグスクール,https://koriyama-dogschool.com/,メール無し(フォーム連絡のみ),
122,ドッグサロンオズ,,滋賀,トリミング/ペットホテル/ペットシッター,https://dogsalon-oz.com/,メール無し(フォーム連絡のみ),
123,あおぞらドッグラン,,鳥取,ドッグ幼稚園/ペットホテル/トリミング,https://aozora-d.jp/,メール無し(フォーム連絡のみ),
124,ドッグスクール縁,,島根,ドッグ幼稚園/ドッグスクール/ホテル,https://dog-school-enn.com/,メール無し(フォーム連絡のみ),
125,i-DOG アイドッグ ラティ高松店,,香川,ペットホテル/トリミング/ドッグラン,https://i-dog.jp/hotelandtrimming/,メール無し(フォーム連絡のみ),
126,ドッグスクール FLAP,,広島,ドッグ幼稚園/しつけ教室/ペットホテル,https://dog-sc-flap.lolipop.jp/,メール無し(フォーム連絡のみ),
127,ペットホテルBRUNO,,広島,ペットホテル(ケージフリー),https://aubergecaninebruno.com/,メール無し(フォーム連絡のみ),
128,ペット保育園ポム,,愛媛,ペット保育園/ペットホテル/トリミング,https://pet-pom.jimdofree.com/,メール無し(フォーム連絡のみ),
129,ZOOの森,,愛媛,ペットホテル/トリミング/ドッグエステ,https://petzoo.jp/,メール無し(フォーム連絡のみ),
130,TKS-Dog Sports Club,,福岡,ドッグ幼稚園/ホテル/しつけ,https://www.tks-dogsportsclub.com/,メール無し(フォーム連絡のみ),
131,SAGAドッグスクール,,佐賀,しつけ/ペットホテル,https://sagadogschool.com/,メール無し(フォーム連絡のみ),
132,Happy dog(ハッピードッグ),,沖縄,保育園/デイケア/ホテル/トリミング/しつけ,https://www.okinawa-happy-dog.com/,メール無し(フォーム連絡のみ),
133,ワンニャンじゃんぐる,,沖縄,トリミング/ペットホテル,https://www.12jungle.co.jp/,メール無し(フォーム連絡のみ),
134,Dog Salon inugoya,,北海道,トリミング(古民家ドッグサロン),https://www.dogsalon-inugoya.com/,メール無し(フォーム連絡のみ),
135,Dog Salon Bond,,北海道,トリミング/シャンプー/ホテル,https://dog-salon-bond.com/,メール無し(フォーム連絡のみ),
136,ペットサロン わんくぅ,,青森,トリミング/グルーミング,https://wankuu.net/,メール無し(フォーム連絡のみ),
137,シルバードッグ,,岩手,トリミング/ペットホテル,https://www.silverdog.jp/,メール無し(フォーム連絡のみ),
138,DogSalon CIEL(シエル),,秋田,ドッグサロン(大型犬対応),https://cielsalon-dog.net/,メール無し(フォーム連絡のみ),
139,Woo Drops(ウードロップス),,秋田,トリミング/一時預かり,https://woo-drops.com/,メール無し(フォーム連絡のみ),
140,Dog salon NICO,,福島,小型中型犬専門トリミング,https://nico-dog.jp/,メール無し(フォーム連絡のみ),
141,グルーミングサロンYUMI,,福島,犬専門トリミング,https://www.yumir4300.com/,メール無し(フォーム連絡のみ),
142,トリミングサロン 犬喜庵(けんきあん),,東京,トリミングサロン(移動・出張型),https://kenkian.com/,メール無し(フォーム連絡のみ),
143,トリミングサロン ドッグチョイス,,神奈川,トリミングサロン,https://dog-choice.com/,メール無し(フォーム連絡のみ),
144,SNOOP,,千葉,ペットサロン(トリミング・ホテル),https://petsalon-snoop.com/,メール無し(フォーム連絡のみ),
145,犬の美容室 COWAN,,千葉,トリミングサロン,https://www.cowan.jp/,メール無し(フォーム連絡のみ),
146,ドッグサロン ふわふわ,,埼玉,ドッグサロン(トリミング・ホテル),https://www.dogfuwafuwa.com/,メール無し(フォーム連絡のみ),
147,ペットサロンハニー 川越本店,,埼玉,トリミングサロン,https://petsalon-honey.com/kawagoe/,メール無し(フォーム連絡のみ),
148,ZUTTO DOG(ズットドッグ),,埼玉,犬の幼稚園/ホテル/トリミング,https://zuttodog.jp/,メール無し(フォーム連絡のみ),
149,DogSalon AZAZ,,栃木,ドッグサロン,https://dogsalon-azaz.com/,メール無し(フォーム連絡のみ),
150,トリミングサロンHappiness,,群馬,トリミングサロン,https://tsaron-happiness.com/,メール無し(フォーム連絡のみ),
151,ドッグ&キャット アディー・,,愛知,トリミングサロン/ペットホテル,https://addypet.com/,メール無し(フォーム連絡のみ),
152,トリミングサロンglaffy(ぐらっふぃ),,愛知,トリミングサロン,https://glaffy.com/,メール無し(フォーム連絡のみ),
153,Paw Dog(パウドッグ),,愛知,犬の幼稚園,https://www.pawdog-k.com/,メール無し(フォーム連絡のみ),
154,わんわん美容室,,静岡,トリミングサロン/ペットホテル,https://www.wanwan-pet.jp/,メール無し(フォーム連絡のみ),
155,トリミングサロン DISA,,静岡,トリミングサロン/ペットホテル,https://www.trimmingdisa.com/,メール無し(フォーム連絡のみ),
156,ドッグサロン ONE SmiLE,,長野,トリミングサロン(ドッグホテル併設),https://www.one-smile.biz/,メール無し(フォーム連絡のみ),
157,Dogsalon KUU,,新潟,トリミングサロン(小型犬専用),https://kuukuu.biz/,メール無し(フォーム連絡のみ),
158,Doggy Paradise(ドギーパラダイス),,富山,トリミング/ペットホテル/ドッグカフェ,https://www.doggyparadise2020.com/,メール無し(フォーム連絡のみ),
159,DOG.OASIS.コロン,,岐阜,トリミングサロン/ペットホテル(ドッグラン併設),https://dogsalon-koron.com/,メール無し(フォーム連絡のみ),
160,mof.dog design(モフドッグ デザイン),,三重,ドッグサロン(トリミング),https://www.mof-dogdesign.jp/,メール無し(フォーム連絡のみ),
161,Dog salon WAAN(ドッグサロンワーン),,三重,トリミングサロン,https://www.dogsalon-waan.com/,メール無し(フォーム連絡のみ),
162,pet salon Dearest,,大阪,トリミング/ペットショップ,https://www.petsalondearest.com/,メール無し(フォーム連絡のみ),
163,ドッグサロンひだまり,,大阪,トリミング/一時預かり,https://www.dogsalon-hidamari.com/,メール無し(フォーム連絡のみ),
164,わん子ん家 天王寺てんしば店,,大阪,犬の幼稚園/しつけ/ペットホテル,https://wankonchi.jp/school/school-info/tenshiba/,メール無し(フォーム連絡のみ),
165,ドッグサロンなごみ,,京都,トリミング/ペットホテル,https://www.dog-salon-nagomi.com/,メール無し(フォーム連絡のみ),
166,DOG SALON 京都ドッグス,,京都,トリミング,https://kyoto-dogs.com/,メール無し(フォーム連絡のみ),
167,Dog Salon ICHI,,兵庫,トリミング/ペットホテル,https://dogsalon-ichi.jp/,メール無し(フォーム連絡のみ),
168,ドッグサロンViVi,,兵庫,トリミング/ペットホテル,https://dogsalon-vivi.com/,メール無し(フォーム連絡のみ),
169,いぬまるドッグサロン,,兵庫,ドッグサロン/トリミング,https://inumaru-dog-salon.com/,メール無し(フォーム連絡のみ),
170,Dog Salon Lavandula,,滋賀,トリミング,https://www.dogsalonlavandula.com/,メール無し(フォーム連絡のみ),
171,わんだふる,,奈良,トリミング,https://www.trimmingsalon-wonderful.com/,メール無し(フォーム連絡のみ),
172,Dogsalon&Cafe PawPads,,岡山,トリミングサロン/カフェ,https://dog-salon-pawpads.com/,メール無し(フォーム連絡のみ),
173,Dog Salon TRIANGLE,,広島,トリミングサロン,https://dogsalon-triangle.com/,メール無し(フォーム連絡のみ),
174,ペット美容室 SARY,,広島,ペット美容室/トリミング,https://pet-sary.com/,メール無し(フォーム連絡のみ),
175,Pet House わん's,,徳島,ペットホテル&トリミングサロン,https://www.pethouse-wans.com/,メール無し(フォーム連絡のみ),
176,dog salon CLANTE,,香川,トリミングサロン,https://www.clantedogsalon2020.com/,メール無し(フォーム連絡のみ),
177,ペットサロン&ミニドッグランWOM 高松檀紙店,,香川,ドッグサロン/ドッグラン,https://www.wom-dogsalon.com/,メール無し(フォーム連絡のみ),
178,ピコワンワンショップ,,福岡,トリミング/ペットホテル,https://www.picowanwan.co.jp/,メール無し(フォーム連絡のみ),
179,ペットサロン Dspace,,福岡,トリミング/ペットホテル/デイケア,https://www.dspace-kokura.com/,メール無し(フォーム連絡のみ),
180,Pet salon Ammy(アミイ),,福岡,トリミングサロン,https://www.petsalon-ammy.com/,メール無し(フォーム連絡のみ),
181,ドッグアカデミーPePeDOG,,福岡,犬の保育園/しつけ/グルーミング,https://pepedog.net/,メール無し(フォーム連絡のみ),
182,BULL STAR,,福岡,トリミングサロン/ホテル,https://bullstar.jp/,メール無し(フォーム連絡のみ),
183,どっぐぱーる,,福岡,トリミングサロン,https://www.dog-pearl.com/,メール無し(フォーム連絡のみ),
184,ペットラウンジ le chien(ルシアン),,熊本,トリミング/ペットホテル/老犬ホーム,https://www.petlounge-lechien.com/,メール無し(フォーム連絡のみ),
185,トリミングサロン Licotta,,大分,トリミングサロン,https://www.trimming-licotta.com/,メール無し(フォーム連絡のみ),
186,FLUFFY+(フラッフィープラス),,大分,ドッグサロン/プレイルーム/ホテル,https://www.fluffy-plus.com/,メール無し(フォーム連絡のみ),
187,ドッグサロン Wanna Relax(ワンリラ),,宮崎,トリミングサロン,https://www.wannarelax.jp/,メール無し(フォーム連絡のみ),
188,Dog Lovers,,佐賀,トリミングサロン,https://saga-doglovers.com/,メール無し(フォーム連絡のみ),
189,ドッグサロン carone(カロネ),,沖縄,トリミングサロン/ペットホテル,https://www.dogsalon-carone.com/,メール無し(フォーム連絡のみ),
